Anchor,Ranging,Duration
An0015,807,0.10004019737243652
An0015,807,0.6147775650024414
An0054,733,0.6147775650024414
An0030,1170,0.6147775650024414
An0014,987,0.6147775650024414
An0054,733,1.1315796375274658
An0030,1170,1.1315796375274658
An0014,987,1.1315796375274658
An0015,798,3.180493116378784
An0015,798,3.681356906890869
An0030,1151,3.681356906890869
An0014,947,3.681356906890869
An0030,1151,4.21322774887085
An0014,947,4.21322774887085
An0015,690,5.243240594863892
An0054,801,5.243240594863892
An0051,190,5.243240594863892
An0030,1054,5.243240594863892
An0014,825,5.243240594863892
An0015,639,5.745075464248657
An0054,801,5.745075464248657
An0051,244,5.745075464248657
An0030,1023,5.745075464248657
An0014,764,5.745075464248657
An0015,639,6.2472429275512695
An0051,244,6.2472429275512695
An0030,1023,6.2472429275512695
An0014,764,6.2472429275512695
An0015,357,8.895732402801514
An0015,311,9.396097898483276
An0054,926,9.396097898483276
An0030,809,9.396097898483276
An0014,412,9.396097898483276
An0015,289,9.906477928161621
An0054,936,9.906477928161621
An0030,809,9.906477928161621
An0014,389,9.906477928161621
An0015,267,10.407190561294556
An0054,960,10.407190561294556
An0051,669,10.407190561294556
An0030,786,10.407190561294556
An0014,372,10.407190561294556
An0015,267,10.910370349884033
An0054,960,10.910370349884033
An0051,669,10.910370349884033
An0030,786,10.910370349884033
