Anchor,Ranging,Duration
An0015,799,0.5171163082122803
An0051,100,0.5171163082122803
An0030,1145,0.5171163082122803
An0015,799,1.030855417251587
An0051,100,1.030855417251587
An0030,1145,1.030855417251587
An0014,941,1.030855417251587
An0015,799,1.54290771484375
An0051,100,1.54290771484375
An0030,1145,1.54290771484375
An0014,941,1.54290771484375
An0015,798,2.576488494873047
An0051,93,2.576488494873047
An0014,932,2.576488494873047
An0015,795,3.0997025966644287
An0054,731,3.0997025966644287
An0051,96,3.0997025966644287
An0030,1147,3.0997025966644287
An0014,936,3.0997025966644287
An0015,793,3.6246285438537598
An0054,728,3.6246285438537598
An0051,95,3.6246285438537598
An0030,1139,3.6246285438537598
An0014,929,3.6246285438537598
An0015,793,4.1435723304748535
An0054,728,4.1435723304748535
An0051,95,4.1435723304748535
An0030,1139,4.1435723304748535
An0014,929,4.1435723304748535
An0015,683,5.162096977233887
An0015,683,5.6860997676849365
An0051,170,5.6860997676849365
An0014,835,5.6860997676849365
An0051,170,6.186675548553467
An0014,835,6.186675548553467
An0051,341,6.700527906417847
An0054,812,7.2098612785339355
An0051,341,7.2098612785339355
An0030,938,7.2098612785339355
An0054,812,7.71216607093811
An0030,938,7.71216607093811
An0015,364,8.226435899734497
An0015,364,8.741338014602661
An0054,985,8.741338014602661
An0051,504,8.741338014602661
An0015,364,9.256771564483643
An0054,985,9.256771564483643
An0051,504,9.256771564483643
An0015,242,10.265999794006348
An0015,242,10.774092435836792
An0051,645,10.774092435836792
An0030,771,10.774092435836792
An0051,645,11.28283953666687
An0030,771,11.28283953666687
An0015,168,12.292410135269165
An0054,1129,12.292410135269165
An0051,780,12.292410135269165
An0015,167,12.822408437728882
An0054,1129,12.822408437728882
An0051,773,12.822408437728882
An0015,167,13.349037170410156
An0051,773,13.349037170410156
