Anchor,Ranging,Duration
An0015,793,0.14803504943847656
An0051,98,0.14803504943847656
An0014,917,0.14803504943847656
An0015,793,0.6519713401794434
An0051,98,0.6519713401794434
An0014,917,0.6519713401794434
An0015,798,1.6947991847991943
An0054,717,1.6947991847991943
An0051,102,1.6947991847991943
An0014,919,1.6947991847991943
An0015,798,2.214308738708496
An0054,717,2.214308738708496
An0051,101,2.214308738708496
An0014,918,2.214308738708496
An0015,798,2.73698091506958
An0054,717,2.73698091506958
An0051,101,2.73698091506958
An0014,918,2.73698091506958
An0015,786,3.773008108139038
An0015,780,4.279832601547241
An0054,723,4.279832601547241
An0051,94,4.279832601547241
An0014,903,4.279832601547241
An0051,94,4.792442321777344
An0014,903,4.792442321777344
An0015,622,5.82280158996582
An0054,780,5.82280158996582
An0051,229,5.82280158996582
An0015,560,6.346145868301392
An0054,804,6.346145868301392
An0051,277,6.346145868301392
An0030,984,6.346145868301392
An0014,798,6.346145868301392
An0015,529,6.852129936218262
An0054,861,6.852129936218262
An0051,327,6.852129936218262
An0030,950,6.852129936218262
An0014,400,6.852129936218262
An0015,481,7.370059967041016
An0054,834,7.370059967041016
An0051,379,7.370059967041016
An0030,913,7.370059967041016
An0014,603,7.370059967041016
An0015,422,7.878201246261597
An0054,862,7.878201246261597
An0051,453,7.878201246261597
An0030,872,7.878201246261597
An0014,539,7.878201246261597
An0015,407,8.394150972366333
An0054,865,8.394150972366333
An0051,453,8.394150972366333
An0030,866,8.394150972366333
An0014,536,8.394150972366333
An0015,401,8.894794702529907
An0054,865,8.894794702529907
An0051,467,8.894794702529907
An0030,856,8.894794702529907
An0014,518,8.894794702529907
An0015,227,10.427605390548706
An0054,979,10.427605390548706
An0051,686,10.427605390548706
An0030,720,10.427605390548706
An0014,333,10.427605390548706
An0015,194,10.957932710647583
An0054,993,10.957932710647583
An0051,711,10.957932710647583
An0030,747,10.957932710647583
An0014,285,10.957932710647583
An0015,194,11.476925611495972
An0054,1004,11.476925611495972
An0051,729,11.476925611495972
An0030,743,11.476925611495972
An0014,277,11.476925611495972
An0054,1004,11.978057622909546
An0051,729,11.978057622909546
An0030,743,11.978057622909546
An0014,277,11.978057622909546
An0015,167,12.496116399765015
An0015,168,13.004914045333862
An0054,1056,13.004914045333862
An0030,737,13.004914045333862
An0014,224,13.004914045333862
An0015,166,13.510580062866211
An0054,1054,13.510580062866211
An0051,780,13.510580062866211
An0030,735,13.510580062866211
An0014,225,13.510580062866211
An0015,166,14.037693977355957
An0054,1054,14.037693977355957
An0051,780,14.037693977355957
An0030,735,14.037693977355957
An0014,225,14.037693977355957
