# Accelerometer Data File
# Started @Sat May 02 15:49:28 GMT+08:00 2020
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer
# sensor Resolution: 0.0023956299m/sec^2; Max Range: 156.9064; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the ","
# X,Y,Z,time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
0.605,0.044,8.762,0
0.566,0.031,7.886,4
0.569,-0.01,7.17,5
0.616,-0.048,6.484,5
0.597,-0.039,5.809,5
0.559,-0.022,5.228,5
0.525,-0.007,4.787,5
0.485,0.006,4.257,5
0.449,-0.024,3.736,5
0.435,0.029,3.35,5
0.378,0.048,2.989,5
0.301,0.026,2.703,5
0.25,0.01,2.467,5
0.156,0.026,2.233,5
0.063,0.015,2.113,5
0.069,-0.046,1.841,5
0.174,-0.071,1.541,5
0.204,-0.047,1.426,5
0.184,-0.038,1.382,5
0.135,-0.051,1.231,5
0.096,0.0,1.134,5
0.077,-0.007,1.089,4
0.104,-0.011,0.954,5
0.076,0.015,0.906,5
0.039,0.001,0.781,5
0.022,-0.007,0.66,5
0.002,0.006,0.542,5
0.062,-0.003,0.44,5
0.078,0.005,0.375,5
0.091,-0.016,0.337,5
0.082,-0.031,0.312,5
0.16,-0.02,0.246,5
0.187,0.012,0.204,5
0.155,0.032,0.236,5
0.2,0.08,0.247,5
0.21,0.107,0.252,5
0.137,0.122,0.287,5
0.089,0.14,0.237,5
0.067,0.109,0.187,5
0.056,0.08,0.186,5
0.012,0.09,0.158,5
-0.036,0.072,0.121,4
-0.032,0.069,0.148,5
-0.059,0.058,0.103,5
-0.135,0.048,0.118,5
-0.143,0.051,0.106,5
-0.081,0.033,0.078,5
-0.073,0.03,0.04,5
-0.027,0.018,-0.032,5
0.035,0.047,-0.028,5
0.083,0.094,-0.116,5
0.114,0.119,-0.169,5
0.21,0.115,-0.126,5
0.254,0.043,-0.157,5
0.185,0.151,-0.219,5
0.227,0.106,-0.175,5
0.221,0.043,-0.153,5
0.186,0.013,-0.181,5
0.137,0.02,-0.171,5
0.081,0.014,-0.098,5
0.042,-0.012,-0.024,4
-0.004,-0.002,-0.039,5
-0.021,-0.019,-0.056,5
-0.07,-0.048,-0.05,5
-0.106,-0.051,-0.037,5
-0.109,-0.059,-0.024,5
-0.175,-0.032,0.003,5
-0.162,-0.02,-0.027,5
-0.193,-0.005,-0.007,5
-0.144,0.0,0.002,5
-0.073,-0.013,-0.006,5
0.032,0.0,-0.018,5
0.115,0.005,-0.038,5
0.164,0.021,-0.073,5
0.212,0.028,-0.083,5
0.217,0.047,-0.122,5
0.247,0.081,-0.105,5
0.231,0.055,-0.065,5
0.169,0.028,-0.058,5
0.143,0.012,-0.001,5
0.09,-0.005,0.024,4
0.025,-0.005,0.043,5
-0.054,-0.026,0.082,5
-0.105,-0.066,0.139,5
-0.167,-0.077,0.168,5
-0.181,-0.052,0.155,5
-0.24,-0.034,0.097,5
-0.238,-0.056,0.039,5
-0.214,-0.033,0.023,5
-0.158,-0.017,-0.022,5
-0.082,-0.011,-0.076,5
-0.052,0.019,-0.077,5
-0.004,0.009,-0.069,5
0.065,-0.034,-0.079,5
0.131,-0.061,-0.032,5
0.174,-0.063,0.03,5
0.183,-0.048,0.087,5
0.156,-0.061,0.1,5
0.2,-0.102,0.15,5
0.163,-0.092,0.148,5
0.117,-0.083,0.108,4
0.083,-0.035,0.105,5
0.066,-0.015,0.06,5
0.051,0.003,0.063,5
-0.026,-0.001,0.0,5
-0.032,-0.009,0.009,5
-0.046,-0.012,0.043,5
-0.089,-0.011,0.021,5
-0.089,-0.04,0.002,5
-0.075,-0.066,0.036,5
-0.046,-0.051,0.041,5
-0.063,-0.067,0.058,5
-0.087,-0.069,0.126,5
-0.052,-0.049,0.139,5
-0.008,-0.044,0.082,5
0.026,-0.044,0.112,5
0.036,-0.04,0.157,5
0.033,-0.049,0.107,5
0.068,-0.039,0.139,5
0.04,-0.044,0.117,4
-0.011,-0.044,0.114,5
-0.053,-0.014,0.068,5
-0.099,-0.008,0.1,5
-0.137,-0.016,0.038,5
-0.157,-0.018,-0.017,5
-0.111,-0.029,-0.032,5
-0.087,-0.022,-0.076,5
-0.044,-0.024,-0.073,5
-0.005,-0.043,-0.061,5
0.072,-0.056,-0.016,5
0.142,-0.05,-0.049,5
0.193,-0.063,-0.005,5
0.307,-0.099,-0.039,5
0.302,-0.072,-0.061,5
0.345,-0.056,-0.038,5
0.371,-0.068,-0.004,5
0.325,-0.022,-0.016,5
0.314,-0.046,0.019,5
0.235,-0.054,-0.004,5
0.199,-0.031,0.013,5
0.097,-0.093,0.094,4
0.018,-0.088,0.183,5
-0.09,-0.07,0.148,5
-0.146,-0.059,0.189,5
-0.217,-0.075,0.204,5
-0.217,-0.05,0.141,5
-0.221,-0.062,0.166,5
-0.195,-0.103,0.244,5
-0.167,-0.153,0.189,5
-0.154,-0.138,0.17,5
-0.117,-0.111,0.188,5
-0.08,-0.065,0.164,5
-0.054,-0.059,0.139,5
-0.049,-0.023,0.091,5
-0.014,0.03,0.056,5
-0.021,0.027,0.003,5
-0.023,0.029,-0.022,5
-0.029,0.078,-0.02,5
-0.1,0.083,-0.009,5
-0.115,0.087,0.064,4
-0.125,0.079,0.131,5
-0.13,0.101,0.113,5
-0.113,0.056,0.231,5
