x_real,y_real,z_real,x_meas,y_meas,z_meas,x_error,y_error,z_error,duration
685.5,0.0,120.0,715.1229672361083,-7.8537044608399995,284.5718030227942,29.622967236108252,7.8537044608399995,164.5718030227942,3.24
685.5,45.7,120.0,718.8680333179857,-22.097813740582858,273.0103975708726,33.36803331798569,67.79781374058285,153.0103975708726,3.75
685.5,137.1,120.0,723.1001912332555,-3.0339710092569994,281.1743540349404,37.60019123325549,140.13397100925698,161.1743540349404,4.39
685.5,182.8,120.0,722.217343612895,-1.5695012538207178,290.22401396729117,36.71734361289498,184.36950125382072,170.22401396729117,4.89
685.5,274.2,120.0,741.903892757332,209.00127230453728,336.9026247838959,56.40389275733196,65.19872769546271,216.90262478389587,5.92
685.5,319.9,120.0,746.8441483135025,209.65188053381806,335.6541043339807,61.3441483135025,110.24811946618192,215.65410433398068,6.43
685.5,457.0,120.0,740.1176093209327,404.83485521466946,368.1198231956822,54.61760932093273,52.16514478533054,248.11982319568222,7.95
685.5,502.7,120.0,606.7525620322473,329.7810583376027,473.83386320747127,78.74743796775272,172.9189416623973,353.83386320747127,8.47
685.5,548.4,120.0,590.0969230803329,383.26666672984635,483.2066313885928,95.40307691966711,165.13333327015363,363.2066313885928,8.98
685.5,594.1,120.0,653.5808686381868,434.8667400902654,507.76063105218975,31.919131361813243,159.2332599097346,387.76063105218975,9.49
685.5,639.8,120.0,695.8097522148843,443.7660124909994,502.5973486348382,10.30975221488427,196.03398750900055,382.5973486348382,10.0
