Anchor,Ranging,Duration
An0051,103,3.243724584579468
An0054,719,3.243724584579468
An0015,795,3.243724584579468
An0014,932,3.243724584579468
An0051,93,3.7520020008087163
An0054,728,3.7520020008087163
An0015,783,3.7520020008087163
An0014,971,3.7520020008087163
An0051,98,4.393126487731934
An0054,733,4.393126487731934
An0015,764,4.393126487731934
An0014,954,4.393126487731934
An0051,107,4.89367151260376
An0054,733,4.89367151260376
An0015,762,4.89367151260376
An0014,954,4.89367151260376
An0051,259,5.918064594268799
An0015,592,5.918064594268799
An0014,729,5.918064594268799
An0054,783,5.918064594268799
An0051,259,6.4336490631103525
An0015,592,6.4336490631103525
An0014,729,6.4336490631103525
An0054,788,6.4336490631103525
An0015,427,7.952179670333862
An0051,444,7.952179670333862
An0014,539,7.952179670333862
An0054,860,7.952179670333862
An0015,387,8.465940237045286
An0051,473,8.465940237045286
An0014,538,8.465940237045286
An0030,862,8.465940237045286
An0015,346,8.982171058654785
An0014,497,8.982171058654785
An0051,526,8.982171058654785
An0030,816,8.982171058654785
An0015,311,9.48892307281494
An0014,440,9.48892307281494
An0051,573,9.48892307281494
An0030,811,9.48892307281494
An0015,311,9.998069763183594
An0014,427,9.998069763183594
An0051,573,9.998069763183594
An0030,806,9.998069763183594
