Anchor,Ranging,Duration,x,y,z
An0051,107,4.618186951,685.5,137.1,120
An0054,742,4.618186951,685.5,137.1,120
An0015,761,4.618186951,685.5,137.1,120
An0014,909,4.618186951,685.5,137.1,120
An0051,107,5.118287563,685.5,182.8,120
An0015,761,5.118287563,685.5,182.8,120
An0054,768,5.118287563,685.5,182.8,120
An0014,907,5.118287563,685.5,182.8,120
An0051,348,7.135041237,685.5,365.6,120
An0015,509,7.135041237,685.5,365.6,120
An0014,660,7.135041237,685.5,365.6,120
An0030,942,7.135041237,685.5,365.6,120
An0051,395,7.635637283,685.5,411.3,120
An0015,459,7.635637283,685.5,411.3,120
An0014,611,7.635637283,685.5,411.3,120
An0030,942,7.635637283,685.5,411.3,120
An0051,417,8.164763927,685.5,457,120
An0015,451,8.164763927,685.5,457,120
An0014,589,8.164763927,685.5,457,120
An0030,906,8.164763927,685.5,457,120
An0051,417,8.673140287,685.5,502.7,120
An0015,451,8.673140287,685.5,502.7,120
An0014,589,8.673140287,685.5,502.7,120
An0030,906,8.673140287,685.5,502.7,120
An0015,304,9.708949566,685.5,594.1,120
An0014,450,9.708949566,685.5,594.1,120
An0051,585,9.708949566,685.5,594.1,120
An0030,813,9.708949566,685.5,594.1,120
An0015,304,10.20938063,685.5,639.8,120
An0014,450,10.20938063,685.5,639.8,120
An0051,585,10.20938063,685.5,639.8,120
An0030,813,10.20938063,685.5,639.8,120
