Anchor,Ranging,Duration,x,y,z
An0051,103,3.243724585,685.5,0,120
An0054,719,3.243724585,685.5,0,120
An0015,795,3.243724585,685.5,0,120
An0014,932,3.243724585,685.5,0,120
An0051,93,3.752002001,685.5,45.7,120
An0054,728,3.752002001,685.5,45.7,120
An0015,783,3.752002001,685.5,45.7,120
An0014,971,3.752002001,685.5,45.7,120
An0051,98,4.393126488,685.5,137.1,120
An0054,733,4.393126488,685.5,137.1,120
An0015,764,4.393126488,685.5,137.1,120
An0014,954,4.393126488,685.5,137.1,120
An0051,107,4.893671513,685.5,182.8,120
An0054,733,4.893671513,685.5,182.8,120
An0015,762,4.893671513,685.5,182.8,120
An0014,954,4.893671513,685.5,182.8,120
An0051,259,5.918064594,685.5,274.2,120
An0015,592,5.918064594,685.5,274.2,120
An0014,729,5.918064594,685.5,274.2,120
An0054,783,5.918064594,685.5,274.2,120
An0051,259,6.433649063,685.5,319.9,120
An0015,592,6.433649063,685.5,319.9,120
An0014,729,6.433649063,685.5,319.9,120
An0054,788,6.433649063,685.5,319.9,120
An0015,427,7.95217967,685.5,457,120
An0051,444,7.95217967,685.5,457,120
An0014,539,7.95217967,685.5,457,120
An0054,860,7.95217967,685.5,457,120
An0015,387,8.465940237,685.5,502.7,120
An0051,473,8.465940237,685.5,502.7,120
An0014,538,8.465940237,685.5,502.7,120
An0030,862,8.465940237,685.5,502.7,120
An0015,346,8.982171059,685.5,548.4,120
An0014,497,8.982171059,685.5,548.4,120
An0051,526,8.982171059,685.5,548.4,120
An0030,816,8.982171059,685.5,548.4,120
An0015,311,9.488923073,685.5,594.1,120
An0014,440,9.488923073,685.5,594.1,120
An0051,573,9.488923073,685.5,594.1,120
An0030,811,9.488923073,685.5,594.1,120
An0015,311,9.998069763,685.5,639.8,120
An0014,427,9.998069763,685.5,639.8,120
An0051,573,9.998069763,685.5,639.8,120
An0030,806,9.998069763,685.5,639.8,120
