Anchor,Ranging,Duration,x,y,z
An0051,84,3.080794334,685.5,0,120
An0054,742,3.080794334,685.5,0,120
An0015,799,3.080794334,685.5,0,120
An0014,976,3.080794334,685.5,0,120
An0051,87,3.581384659,685.5,45.7,120
An0054,738,3.581384659,685.5,45.7,120
An0015,790,3.581384659,685.5,45.7,120
An0014,946,3.581384659,685.5,45.7,120
An0051,87,4.09761405,685.5,91.4,120
An0054,734,4.09761405,685.5,91.4,120
An0015,782,4.09761405,685.5,91.4,120
An0014,924,4.09761405,685.5,91.4,120
An0051,128,4.598162413,685.5,137.1,120
An0015,723,4.598162413,685.5,137.1,120
An0054,734,4.598162413,685.5,137.1,120
An0014,914,4.598162413,685.5,137.1,120
An0051,192,5.105578899,685.5,182.8,120
An0015,662,5.105578899,685.5,182.8,120
An0054,764,5.105578899,685.5,182.8,120
An0014,840,5.105578899,685.5,182.8,120
An0051,213,5.620147467,685.5,228.5,120
An0015,636,5.620147467,685.5,228.5,120
An0054,764,5.620147467,685.5,228.5,120
An0014,840,5.620147467,685.5,228.5,120
An0051,218,6.120702982,685.5,274.2,120
An0015,636,6.120702982,685.5,274.2,120
An0014,830,6.120702982,685.5,274.2,120
An0030,1029,6.120702982,685.5,274.2,120
An0051,393,7.636094332,685.5,411.3,120
An0015,464,7.636094332,685.5,411.3,120
An0014,588,7.636094332,685.5,411.3,120
An0030,906,7.636094332,685.5,411.3,120
An0051,393,8.155032635,685.5,457,120
An0015,464,8.155032635,685.5,457,120
An0014,588,8.155032635,685.5,457,120
An0030,906,8.155032635,685.5,457,120
An0015,304,9.182619572,685.5,548.4,120
An0014,434,9.182619572,685.5,548.4,120
An0051,555,9.182619572,685.5,548.4,120
An0030,817,9.182619572,685.5,548.4,120
An0015,279,9.692232132,685.5,594.1,120
An0014,374,9.692232132,685.5,594.1,120
An0051,605,9.692232132,685.5,594.1,120
An0030,797,9.692232132,685.5,594.1,120
An0015,224,10.20754504,685.5,639.8,120
An0014,331,10.20754504,685.5,639.8,120
An0051,657,10.20754504,685.5,639.8,120
An0030,763,10.20754504,685.5,639.8,120
An0015,208,10.71683669,685.5,685.5,120
An0014,298,10.71683669,685.5,685.5,120
An0051,694,10.71683669,685.5,685.5,120
An0030,755,10.71683669,685.5,685.5,120
An0015,211,11.22699833,685.5,731.2,120
An0014,295,11.22699833,685.5,731.2,120
An0051,701,11.22699833,685.5,731.2,120
An0030,755,11.22699833,685.5,731.2,120
