Anchor,Ranging,Duration,x,y,z
An0051,85,3.078177929,685.5,0,120
An0054,765,3.078177929,685.5,0,120
An0015,795,3.078177929,685.5,0,120
An0014,930,3.078177929,685.5,0,120
An0051,85,3.57830596,685.5,45.7,120
An0054,765,3.57830596,685.5,45.7,120
An0015,795,3.57830596,685.5,45.7,120
An0014,930,3.57830596,685.5,45.7,120
An0051,151,4.600578547,685.5,137.1,120
An0015,699,4.600578547,685.5,137.1,120
An0054,763,4.600578547,685.5,137.1,120
An0014,818,4.600578547,685.5,137.1,120
An0051,165,5.104449511,685.5,182.8,120
An0015,688,5.104449511,685.5,182.8,120
An0054,763,5.104449511,685.5,182.8,120
An0014,814,5.104449511,685.5,182.8,120
An0051,216,5.608743668,685.5,228.5,120
An0015,607,5.608743668,685.5,228.5,120
An0014,734,5.608743668,685.5,228.5,120
An0054,788,5.608743668,685.5,228.5,120
An0051,216,6.11805439,685.5,274.2,120
An0015,607,6.11805439,685.5,274.2,120
An0014,770,6.11805439,685.5,274.2,120
An0054,788,6.11805439,685.5,274.2,120
An0015,421,7.662596941,685.5,411.3,120
An0051,425,7.662596941,685.5,411.3,120
An0014,557,7.662596941,685.5,411.3,120
An0030,890,7.662596941,685.5,411.3,120
An0015,415,8.18075037,685.5,457,120
An0051,444,8.18075037,685.5,457,120
An0014,546,8.18075037,685.5,457,120
An0030,872,8.18075037,685.5,457,120
An0015,262,9.703263998,685.5,548.4,120
An0014,365,9.703263998,685.5,548.4,120
An0051,604,9.703263998,685.5,548.4,120
An0030,783,9.703263998,685.5,548.4,120
An0015,252,10.20793343,685.5,639.8,120
An0014,338,10.20793343,685.5,639.8,120
An0051,638,10.20793343,685.5,639.8,120
An0030,783,10.20793343,685.5,639.8,120
An0015,252,10.70909452,685.5,685.5,120
An0014,338,10.70909452,685.5,685.5,120
An0051,638,10.70909452,685.5,685.5,120
An0030,783,10.70909452,685.5,685.5,120
