Anchor,Ranging,Duration,x,y,z
An0051,94,4.279832602,685.5,137.1,120
An0054,723,4.279832602,685.5,137.1,120
An0015,780,4.279832602,685.5,137.1,120
An0014,903,4.279832602,685.5,137.1,120
An0051,277,6.346145868,685.5,319.9,120
An0015,560,6.346145868,685.5,319.9,120
An0014,798,6.346145868,685.5,319.9,120
An0054,804,6.346145868,685.5,319.9,120
An0051,327,6.852129936,685.5,365.6,120
An0014,400,6.852129936,685.5,365.6,120
An0015,529,6.852129936,685.5,365.6,120
An0054,861,6.852129936,685.5,365.6,120
An0051,379,7.370059967,685.5,411.3,120
An0015,481,7.370059967,685.5,411.3,120
An0014,603,7.370059967,685.5,411.3,120
An0054,834,7.370059967,685.5,411.3,120
An0015,422,7.878201246,685.5,457,120
An0051,453,7.878201246,685.5,457,120
An0014,539,7.878201246,685.5,457,120
An0054,862,7.878201246,685.5,457,120
An0015,407,8.394150972,685.5,502.7,120
An0051,453,8.394150972,685.5,502.7,120
An0014,536,8.394150972,685.5,502.7,120
An0054,865,8.394150972,685.5,502.7,120
An0015,401,8.894794703,685.5,548.4,120
An0051,467,8.894794703,685.5,548.4,120
An0014,518,8.894794703,685.5,548.4,120
An0030,856,8.894794703,685.5,548.4,120
An0015,227,10.42760539,685.5,685.5,120
An0014,333,10.42760539,685.5,685.5,120
An0051,686,10.42760539,685.5,685.5,120
An0030,720,10.42760539,685.5,685.5,120
An0015,194,10.95793271,685.5,731.2,120
An0014,285,10.95793271,685.5,731.2,120
An0051,711,10.95793271,685.5,731.2,120
An0030,747,10.95793271,685.5,731.2,120
