x,y,z,duration
0.282,0.073,-0.188,98830
0.25,0.061,-0.173,98835
0.242,0.059,-0.126,98840
0.183,0.071,-0.13,98845
0.126,0.059,-0.087,98850
0.118,0.036,-0.039,98855
0.093,0.011,-0.023,98860
0.01,-0.019,0.013,98865
-0.037,0.0,0.051,98870
-0.038,-0.03,0.08,98875
-0.094,-0.032,0.137,98880
-0.145,-0.041,0.144,98885
-0.143,-0.046,0.16,98890
-0.155,-0.041,0.187,98895
-0.148,-0.041,0.173,98900
-0.198,-0.037,0.181,98905
-0.156,-0.012,0.176,98910
-0.102,0.006,0.141,98915
-0.083,-0.003,0.136,98920
-0.045,-0.019,0.096,98925
-0.027,-0.03,0.069,98929
0.013,-0.04,0.041,98934
0.003,-0.053,0.015,98939
0.063,-0.039,-0.042,98944
0.1,-0.053,-0.05,98949
0.094,-0.077,-0.028,98954
0.098,-0.052,-0.051,98959
0.114,-0.039,-0.063,98964
0.141,-0.022,-0.065,98969
0.118,0.01,-0.05,98974
0.111,0.0,-0.067,98979
0.13,0.004,-0.06,98984
0.117,0.025,-0.032,98989
0.04,0.036,-0.042,98994
0.032,0.045,-0.02,98999
0.076,0.01,-0.049,99004
0.064,0.026,-0.013,99009
0.045,0.011,0.017,99014
0.049,0.04,-0.053,99019
0.04,0.057,-0.056,99024
0.061,0.052,-0.016,99028
0.029,0.021,-0.057,99033
0.074,0.031,-0.103,99038
0.045,0.041,-0.093,99043
0.045,0.046,-0.036,99048
0.044,0.037,-0.076,99053
0.074,0.054,-0.102,99058
0.067,0.019,-0.04,99063
0.056,0.026,-0.058,99068
0.037,0.036,-0.056,99073
0.029,-0.001,-0.033,99078
0.035,-0.044,-0.004,99083
0.023,-0.048,0.021,99088
-0.035,-0.082,-0.002,99093
-0.027,-0.052,-0.032,99098
-0.015,-0.069,-0.002,99103
-0.044,-0.075,0.044,99108
-0.061,-0.033,0.048,99113
-0.059,-0.029,0.043,99118
-0.071,-0.009,0.013,99123
-0.059,0.0,0.02,99127
-0.045,-0.021,0.066,99132
-0.04,0.04,0.033,99137
-0.062,0.015,0.03,99142
-0.017,0.03,0.031,99147
-0.028,0.027,-0.01,99152
0.004,0.05,0.012,99157
-0.026,0.058,0.019,99162
0.023,0.052,-0.029,99167
-0.008,0.051,-0.009,99172
-0.007,0.042,0.03,99177
0.01,0.042,-0.011,99182
-0.003,0.033,-0.01,99187
0.026,0.008,-0.005,99192
0.002,-0.026,0.012,99197
0.002,-0.04,-0.044,99202
-0.002,-0.054,-0.005,99207
0.006,-0.04,0.0,99212
0.01,-0.036,0.016,99217
0.013,-0.032,0.023,99222
-0.009,-0.042,0.008,99226
0.017,-0.025,-0.001,99231
-0.005,-0.013,-0.001,99236
-0.018,-0.025,-0.022,99241
0.005,-0.014,-0.037,99246
-0.016,-0.004,-0.046,99251
-0.036,-0.029,-0.046,99256
-0.015,-0.018,-0.067,99261
-0.022,0.013,-0.082,99266
0.022,-0.004,-0.052,99271
0.054,0.025,-0.021,99276
0.053,0.053,-0.019,99281
0.048,0.073,-0.004,99286
0.056,0.045,-0.025,99291
0.05,0.062,-0.022,99296
0.071,0.068,-0.029,99301
0.003,0.044,-0.004,99306
0.02,0.027,-0.03,99311
0.031,0.024,0.015,99316
0.011,0.009,0.014,99321
-0.028,-0.013,0.017,99326
-0.064,-0.02,0.028,99330
-0.075,-0.035,0.012,99335
-0.033,-0.036,-0.005,99340
-0.034,-0.045,-0.018,99345
-0.061,-0.049,0.013,99350
-0.05,-0.036,0.003,99355
-0.002,-0.019,-0.048,99360
-0.015,-0.039,-0.043,99365
-0.056,-0.048,-0.056,99370
-0.016,-0.013,-0.076,99375
-0.062,0.009,-0.068,99380
-0.064,0.034,-0.105,99385
-0.036,0.048,-0.124,99390
-0.015,0.056,-0.138,99395
-0.018,0.063,-0.098,99400
0.022,0.083,-0.114,99405
0.024,0.07,-0.107,99410
0.004,0.093,-0.092,99415
0.017,0.097,-0.096,99420
-0.027,0.1,-0.107,99425
0.013,0.081,-0.114,99429
-0.034,0.069,-0.081,99434
-0.035,0.045,-0.073,99439
0.002,0.062,-0.078,99444
0.006,0.03,-0.079,99449
0.022,-0.028,-0.058,99454
0.063,-0.034,-0.026,99459
0.001,-0.018,-0.024,99464
0.031,-0.046,-0.021,99469
0.071,-0.046,-0.041,99474
0.042,-0.054,-0.028,99479
0.068,-0.044,-0.034,99484
0.018,-0.044,0.012,99489
-0.004,-0.078,0.002,99494
-0.025,-0.071,0.019,99499
-0.001,-0.051,0.013,99504
-0.018,-0.054,0.011,99509
-0.034,-0.023,0.027,99514
-0.052,0.022,0.042,99519
-0.051,0.067,0.042,99524
-0.063,0.082,0.008,99529
-0.07,0.125,0.054,99533
-0.071,0.134,0.027,99538
-0.042,0.116,0.003,99543
-0.042,0.062,-0.005,99548
0.0,0.034,-0.03,99553
0.0,0.039,-0.045,99558
-0.021,-0.007,-0.001,99563
-0.006,-0.006,-0.057,99568
0.024,-0.062,-0.06,99573
0.017,-0.042,-0.032,99578
-0.014,-0.064,-0.042,99583
0.017,-0.079,-0.046,99588
0.063,-0.05,-0.05,99593
0.026,-0.062,-0.028,99598
0.036,-0.06,-0.047,99603
0.058,-0.075,-0.042,99608
0.022,-0.064,-0.033,99613
0.024,-0.036,-0.008,99618
0.039,-0.036,-0.021,99623
0.022,-0.02,-0.01,99628
0.007,-0.022,-0.035,99632
0.002,0.005,-0.035,99637
-0.014,-0.007,-0.049,99642
0.003,0.018,-0.031,99647
0.012,0.06,-0.024,99652
-0.01,0.054,-0.039,99657
-0.005,0.096,-0.048,99662
0.012,0.095,0.0,99667
-0.031,0.072,0.0,99672
-0.015,0.073,-0.008,99677
0.024,0.053,-0.042,99682
-0.02,0.026,-0.016,99687
-0.031,-0.014,-0.014,99692
-0.02,-0.017,-0.026,99697
0.003,-0.037,0.015,99702
-0.035,-0.046,0.004,99707
-0.049,-0.059,0.0,99712
-0.044,-0.048,0.034,99717
-0.009,-0.044,0.057,99722
-0.03,-0.052,0.021,99727
-0.074,-0.025,0.066,99732
-0.037,0.019,0.068,99736
-0.063,0.009,0.031,99741
-0.052,0.008,0.054,99746
-0.03,-0.009,0.027,99751
-0.048,-0.025,0.011,99756
-0.043,0.015,0.018,99761
-0.026,0.031,0.017,99766
-0.015,0.015,-0.036,99771
-0.026,-0.016,-0.049,99776
-0.024,-0.006,-0.036,99781
-0.043,-0.009,0.014,99786
0.004,0.0,-0.021,99791
0.008,0.021,-0.019,99796
-0.035,0.023,-0.073,99801
-0.01,0.008,-0.078,99806
0.003,0.02,-0.014,99811
0.011,0.005,-0.043,99816
-0.019,0.009,-0.026,99821
-0.004,-0.013,-0.036,99826
-0.008,-0.02,0.027,99831
0.009,-0.031,-0.018,99835
-0.004,-0.024,-0.059,99840
0.03,-0.056,-0.006,99845
-0.015,-0.037,-0.022,99850
0.024,-0.016,0.009,99855
0.035,-0.032,0.021,99860
0.014,-0.016,0.036,99865
0.03,-0.01,0.054,99870
0.04,0.016,0.066,99875
0.036,0.062,0.029,99880
0.054,0.034,0.017,99885
0.009,0.065,0.003,99890
0.013,0.041,0.028,99895
-0.001,0.024,-0.047,99900
0.007,-0.003,-0.016,99905
0.002,-0.016,-0.028,99910
0.019,-0.014,-0.025,99915
0.013,-0.056,0.011,99920
-0.039,-0.024,0.045,99925
-0.009,-0.048,0.036,99930
0.0,-0.03,0.041,99935
-0.008,-0.031,0.015,99939
0.004,-0.006,0.048,99944
0.013,-0.027,0.004,99949
-0.014,0.013,0.034,99954
-0.029,-0.013,0.026,99959
-0.026,-0.003,0.011,99964
-0.037,-0.02,0.031,99969
-0.016,-0.009,0.028,99974
-0.031,0.0,0.042,99979
-0.028,0.017,-0.008,99984
-0.021,-0.006,-0.012,99989
-0.01,0.011,0.014,99994
-0.005,0.023,0.009,99999
0.016,0.012,-0.017,100004
-0.006,0.024,-0.003,100009
0.007,0.021,0.001,100014
0.015,0.019,-0.024,100019
0.0,0.017,-0.03,100024
0.004,0.037,-0.027,100029
0.038,0.016,-0.037,100034
0.039,-0.006,-0.012,100038
0.022,0.015,0.001,100043
0.011,0.022,-0.037,100048
0.023,0.024,-0.011,100053
0.0,-0.003,-0.023,100058
-0.022,0.005,-0.016,100063
-0.019,-0.016,0.006,100068
-0.004,-0.019,-0.02,100073
-0.021,-0.026,-0.005,100078
0.006,-0.014,0.021,100083
0.01,-0.013,0.01,100088
0.0,0.005,0.0,100093
-0.042,0.017,-0.033,100098
-0.016,0.024,0.004,100103
0.002,0.004,-0.009,100108
0.014,-0.025,-0.025,100113
0.013,0.019,-0.005,100118
0.033,0.013,-0.005,100123
0.008,0.007,0.025,100128
0.012,-0.005,0.009,100133
0.045,0.0,0.039,100138
0.01,-0.005,0.035,100142
-0.037,0.008,0.01,100147
-0.016,0.041,0.009,100152
-0.053,-0.001,0.051,100157
-0.044,-0.005,0.037,100162
-0.013,0.003,0.038,100167
-0.047,-0.018,0.038,100172
-0.007,-0.007,0.069,100177
-0.028,-0.019,0.075,100182
-0.034,-0.035,0.007,100187
-0.022,-0.001,0.01,100192
-0.02,-0.005,0.001,100197
-0.005,0.012,0.018,100202
0.029,-0.019,-0.022,100207
0.018,-0.004,-0.007,100212
0.0,-0.008,0.006,100217
-0.022,0.001,0.048,100222
0.018,0.001,0.005,100227
0.008,0.009,-0.064,100232
-0.031,-0.017,-0.018,100237
-0.036,-0.024,0.004,100241
-0.028,-0.025,0.012,100246
-0.06,0.006,-0.027,100251
-0.041,-0.015,0.018,100256
-0.054,-0.009,0.042,100261
-0.07,0.017,0.012,100266
-0.042,0.028,-0.001,100271
-0.02,0.0,0.019,100276
-0.035,-0.013,0.035,100281
-0.07,0.001,-0.002,100286
-0.025,0.0,-0.006,100291
-0.013,0.005,-0.01,100296
0.008,0.008,0.02,100301
-0.009,0.0,0.001,100306
0.013,0.016,0.005,100311
-0.013,0.023,0.03,100316
0.009,-0.013,0.032,100321
0.0,-0.05,-0.001,100326
0.0,-0.015,0.024,100331
0.016,-0.009,0.039,100336
0.023,-0.012,0.018,100341
0.0,-0.007,0.007,100345
-0.008,0.01,0.002,100350
0.022,0.005,0.006,100355
0.032,0.009,-0.011,100360
0.021,0.0,-0.035,100365
-0.019,0.008,-0.032,100370
0.016,-0.014,-0.024,100375
0.006,0.0,0.046,100380
-0.028,-0.004,-0.001,100385
0.03,0.004,-0.009,100390
-0.015,0.0,0.012,100395
0.015,-0.017,0.007,100400
0.005,-0.024,0.01,100405
-0.029,-0.034,0.005,100410
-0.026,-0.018,0.022,100415
0.002,-0.016,0.011,100420
0.01,-0.027,0.053,100425
0.005,-0.033,0.035,100430
0.008,0.0,0.04,100435
-0.004,0.008,0.049,100440
-0.004,-0.031,0.039,100445
-0.008,-0.014,0.027,100449
0.022,0.0,0.011,100454
-0.018,-0.004,0.027,100459
-0.02,0.03,0.046,100464
-0.018,0.027,0.015,100469
0.013,-0.005,-0.002,100474
-0.009,-0.009,0.006,100479
-0.012,-0.004,0.009,100484
-0.007,0.004,0.004,100489
0.006,-0.021,0.029,100494
0.005,0.01,-0.007,100499
0.009,-0.007,-0.006,100504
0.0,-0.024,0.011,100509
-0.034,-0.017,0.066,100514
-0.022,0.005,0.024,100519
-0.015,0.018,0.022,100524
-0.014,0.0,0.002,100529
-0.021,0.042,-0.014,100534
-0.023,0.025,0.0,100539
0.0,-0.016,-0.021,100544
0.004,0.002,-0.002,100548
-0.017,0.024,-0.04,100553
0.01,0.004,-0.019,100558
-0.003,0.0,-0.034,100563
-0.024,0.008,-0.009,100568
-0.018,0.029,-0.034,100573
0.018,0.017,-0.001,100578
-0.013,0.015,-0.013,100583
-0.003,0.027,-0.016,100588
0.013,0.007,-0.028,100593
0.021,-0.002,-0.016,100598
-0.028,-0.01,-0.036,100603
0.004,-0.035,-0.002,100608
0.012,-0.036,0.006,100613
0.002,-0.019,-0.007,100618
0.015,-0.039,0.002,100623
0.031,-0.048,0.001,100628
0.04,0.0,0.018,100633
0.019,-0.013,0.021,100638
-0.012,0.005,0.006,100643
-0.006,0.009,-0.015,100648
-0.014,0.021,0.028,100652
0.012,0.014,0.03,100657
0.028,0.004,0.04,100662
-0.021,0.004,0.014,100667
-0.032,0.008,0.021,100672
-0.007,-0.018,0.032,100677
-0.011,-0.008,-0.009,100682
-0.014,-0.011,0.017,100687
-0.008,-0.01,0.002,100692
-0.033,-0.018,0.019,100697
-0.004,-0.011,0.017,100702
0.013,-0.032,0.028,100707
-0.009,-0.033,0.004,100712
0.025,-0.008,-0.013,100717
0.036,0.026,-0.016,100722
0.058,0.006,-0.014,100727
0.0,0.001,-0.039,100732
0.013,0.018,-0.03,100737
0.033,-0.004,-0.01,100742
0.03,-0.004,-0.022,100747
0.001,-0.003,-0.015,100751
-0.002,-0.011,-0.014,100756
-0.019,-0.006,0.004,100761
0.02,-0.031,0.025,100766
0.001,0.001,0.031,100771
-0.02,0.018,0.019,100776
-0.005,-0.008,0.022,100781
-0.013,0.009,0.006,100786
-0.024,0.008,0.01,100791
-0.022,0.016,0.013,100796
