x,y,z,duration
0.286,0.593,-0.38,41603
0.287,0.568,-0.415,41608
0.272,0.545,-0.403,41612
0.236,0.461,-0.398,41617
0.242,0.419,-0.397,41622
0.205,0.36,-0.353,41627
0.133,0.25,-0.309,41632
0.098,0.131,-0.291,41637
-0.01,-0.002,-0.223,41642
-0.091,-0.062,-0.175,41647
-0.142,-0.147,-0.114,41652
-0.145,-0.222,-0.085,41657
-0.204,-0.299,-0.038,41662
-0.231,-0.373,0.034,41667
-0.264,-0.426,0.134,41672
-0.254,-0.465,0.146,41677
-0.225,-0.47,0.196,41682
-0.228,-0.453,0.254,41687
-0.205,-0.425,0.25,41692
-0.18,-0.357,0.286,41697
-0.149,-0.299,0.244,41702
-0.087,-0.274,0.211,41707
-0.039,-0.199,0.246,41712
0.054,-0.14,0.217,41716
0.087,-0.092,0.165,41721
0.117,-0.039,0.131,41726
0.157,0.05,0.075,41731
0.129,0.101,0.085,41736
0.15,0.155,0.02,41741
0.127,0.187,-0.02,41746
0.062,0.224,-0.018,41751
0.06,0.245,-0.055,41756
0.067,0.233,-0.084,41761
0.047,0.197,-0.067,41766
0.004,0.156,-0.013,41771
0.0,0.123,-0.02,41776
-0.052,0.106,-0.022,41781
-0.068,0.109,0.035,41786
-0.109,0.067,0.062,41791
-0.085,0.048,0.073,41796
-0.068,0.017,0.07,41801
-0.074,-0.01,0.071,41806
-0.049,-0.03,0.099,41811
-0.031,-0.04,0.089,41815
-0.024,-0.057,0.084,41820
-0.008,-0.026,0.037,41825
0.004,-0.019,0.05,41830
0.038,-0.064,0.037,41835
0.099,-0.015,-0.018,41840
0.128,-0.009,-0.016,41845
0.167,-0.025,-0.027,41850
0.215,-0.023,-0.08,41855
0.245,-0.033,-0.042,41860
0.216,-0.047,-0.042,41865
0.255,-0.042,-0.034,41870
0.221,-0.047,-0.017,41875
0.194,-0.068,-0.016,41880
0.175,-0.057,-0.027,41885
0.144,-0.051,0.018,41890
0.138,-0.046,0.025,41895
0.133,-0.067,-0.007,41900
0.042,-0.009,-0.006,41905
0.068,-0.008,-0.001,41910
0.074,0.014,-0.001,41914
0.054,0.081,-0.001,41919
0.01,0.086,-0.04,41924
-0.025,0.112,-0.031,41929
0.002,0.131,-0.011,41934
-0.001,0.126,-0.07,41939
-0.001,0.144,-0.046,41944
0.046,0.164,-0.054,41949
0.041,0.126,-0.023,41954
0.08,0.113,-0.051,41959
0.115,0.102,-0.076,41964
0.095,0.074,-0.064,41969
0.09,0.019,-0.031,41974
0.094,-0.012,-0.007,41979
0.071,-0.023,-0.028,41984
0.038,-0.021,0.013,41989
0.017,-0.062,0.046,41994
0.011,-0.09,0.05,41999
-0.024,-0.06,0.041,42004
-0.082,-0.075,0.114,42009
-0.095,-0.098,0.111,42014
-0.111,-0.084,0.117,42018
-0.143,-0.075,0.153,42023
-0.193,-0.042,0.103,42028
-0.148,-0.025,0.076,42033
-0.112,0.011,0.107,42038
-0.062,-0.028,0.053,42043
-0.03,-0.051,0.039,42048
-0.035,-0.05,0.001,42053
0.002,-0.015,-0.037,42058
0.066,-0.035,-0.046,42063
0.128,-0.04,-0.072,42068
0.111,-0.062,-0.086,42073
0.096,-0.081,-0.073,42078
0.151,-0.077,-0.049,42083
0.162,-0.083,-0.07,42088
0.154,-0.061,-0.088,42093
0.173,-0.025,-0.062,42098
0.151,-0.009,-0.009,42103
0.14,-0.013,0.004,42108
0.178,-0.011,-0.034,42113
0.165,-0.015,0.016,42117
0.144,0.025,0.031,42122
0.112,0.061,0.002,42127
0.092,0.042,-0.014,42132
0.113,0.085,-0.051,42137
0.059,0.102,-0.016,42142
0.023,0.092,-0.032,42147
-0.03,0.104,-0.028,42152
0.002,0.107,-0.073,42157
0.014,0.087,-0.035,42162
0.004,0.079,0.002,42167
-0.021,0.088,0.032,42172
-0.006,0.088,0.02,42177
0.015,0.092,-0.007,42182
-0.007,0.078,-0.019,42187
-0.084,0.062,-0.004,42192
-0.015,0.034,-0.008,42197
0.029,0.031,-0.063,42202
-0.003,0.04,-0.031,42207
-0.033,0.002,0.01,42212
-0.008,0.023,0.026,42217
0.005,0.004,-0.032,42221
-0.016,-0.026,-0.003,42226
-0.054,-0.036,0.001,42231
-0.022,-0.002,0.01,42236
0.009,-0.032,-0.021,42241
-0.047,-0.038,0.002,42246
-0.012,-0.055,0.036,42251
0.044,-0.08,0.024,42256
0.031,-0.037,0.013,42261
0.054,-0.034,-0.009,42266
0.027,-0.035,-0.012,42271
0.037,-0.048,-0.002,42276
0.012,-0.043,-0.002,42281
0.045,-0.035,0.019,42286
0.032,-0.027,-0.051,42291
0.024,-0.024,-0.046,42296
0.039,0.0,-0.007,42301
0.018,0.003,-0.041,42306
0.033,0.007,-0.037,42311
0.051,0.045,-0.029,42316
0.038,0.066,-0.013,42320
-0.013,0.034,-0.003,42325
-0.007,0.035,-0.007,42330
0.036,0.066,-0.045,42335
0.019,0.059,-0.023,42340
-0.003,0.057,-0.038,42345
0.074,0.073,0.017,42350
0.084,0.036,-0.044,42355
0.045,0.028,0.011,42360
0.058,0.029,0.018,42365
0.039,0.035,0.042,42370
0.031,-0.006,0.029,42375
0.062,-0.036,0.039,42380
0.034,-0.011,0.027,42385
0.022,0.002,0.02,42390
0.054,-0.014,-0.007,42395
0.027,-0.021,-0.006,42400
0.007,0.014,0.041,42405
0.028,0.013,0.028,42410
-0.008,0.0,0.012,42415
0.005,-0.022,0.007,42420
0.008,-0.037,0.019,42424
-0.013,-0.046,0.056,42429
0.03,-0.054,0.033,42434
0.019,-0.04,0.004,42439
-0.012,-0.053,0.02,42444
0.005,-0.061,0.044,42449
0.043,-0.02,-0.02,42454
0.009,-0.023,0.0,42459
-0.004,-0.029,0.02,42464
-0.034,0.003,0.014,42469
-0.009,0.0,0.0,42474
0.013,-0.009,0.012,42479
0.016,-0.025,-0.005,42484
0.027,-0.001,-0.005,42489
0.037,0.007,-0.038,42494
0.029,0.015,0.008,42499
0.052,0.004,-0.014,42504
0.034,-0.008,0.012,42509
0.052,0.026,0.024,42514
0.038,-0.014,0.009,42519
0.013,0.008,0.012,42523
0.037,-0.018,-0.01,42528
0.008,0.005,0.008,42533
0.015,0.008,-0.018,42538
0.001,-0.017,0.0,42543
-0.007,0.035,-0.016,42548
-0.002,0.045,-0.002,42553
0.002,0.018,0.041,42558
-0.006,0.042,0.011,42563
0.002,0.06,0.027,42568
0.019,0.045,0.024,42573
-0.016,0.071,0.004,42578
-0.015,0.064,0.004,42583
0.003,0.057,-0.03,42588
-0.013,0.026,-0.027,42593
-0.012,0.027,-0.054,42598
0.023,0.029,-0.04,42603
0.0,0.017,-0.049,42608
-0.017,0.024,-0.105,42613
0.027,0.013,-0.06,42618
0.011,0.0,-0.045,42622
0.014,-0.03,-0.071,42627
0.017,-0.023,-0.068,42632
0.007,-0.042,-0.035,42637
0.006,-0.051,-0.044,42642
-0.007,-0.046,-0.044,42647
-0.002,-0.054,-0.031,42652
0.01,-0.044,-0.015,42657
0.022,-0.031,-0.014,42662
-0.013,-0.015,0.026,42667
0.017,0.016,0.01,42672
0.015,-0.002,0.005,42677
-0.002,-0.028,0.03,42682
0.014,-0.008,0.023,42687
0.017,0.018,-0.026,42692
0.024,0.012,0.002,42697
0.008,0.045,-0.011,42702
0.029,0.075,-0.053,42707
0.03,0.059,-0.004,42712
0.014,0.036,0.043,42717
0.017,0.019,-0.025,42722
0.037,0.047,-0.023,42726
0.042,0.038,-0.029,42731
0.063,0.017,-0.005,42736
0.07,0.028,-0.047,42741
0.05,0.004,-0.021,42746
0.049,-0.017,-0.01,42751
0.031,0.001,-0.005,42756
0.02,-0.003,0.0,42761
-0.003,0.001,0.003,42766
-0.016,-0.007,-0.009,42771
-0.027,-0.036,-0.029,42776
-0.024,-0.015,-0.014,42781
-0.052,-0.035,-0.012,42786
-0.042,-0.036,-0.002,42791
-0.038,-0.037,-0.006,42796
-0.038,-0.042,0.028,42801
-0.052,-0.05,0.008,42806
-0.042,-0.058,-0.044,42811
-0.012,-0.001,-0.039,42816
-0.007,-0.013,0.011,42821
-0.019,-0.003,-0.011,42825
0.0,0.026,-0.022,42830
0.021,0.032,-0.055,42835
0.023,0.046,-0.053,42840
0.012,0.05,-0.048,42845
0.054,0.023,-0.052,42850
0.023,0.017,-0.029,42855
0.007,0.011,-0.039,42860
0.067,0.018,-0.04,42865
0.043,0.0,-0.031,42870
0.021,-0.008,-0.054,42875
0.015,0.009,-0.049,42880
0.0,-0.004,-0.048,42885
0.0,-0.017,-0.022,42890
-0.007,-0.024,0.027,42895
-0.011,-0.008,-0.013,42900
-0.018,-0.016,0.0,42905
-0.029,-0.019,-0.008,42910
-0.044,0.012,0.005,42915
-0.013,0.037,-0.02,42920
-0.003,0.033,-0.01,42925
-0.003,0.021,-0.035,42929
