x,y,z,duration
0.262,-0.018,-0.028,49921
0.214,-0.055,0.03,49926
0.18,-0.084,0.074,49931
0.076,-0.11,0.136,49936
0.025,-0.073,0.122,49941
-0.011,-0.087,0.157,49946
-0.075,-0.083,0.146,49951
-0.089,0.002,0.148,49956
-0.058,0.015,0.151,49960
-0.078,0.035,0.14,49965
-0.062,0.018,0.16,49970
-0.081,-0.004,0.11,49975
-0.069,-0.008,0.129,49980
-0.066,-0.003,0.094,49985
-0.042,-0.002,0.072,49990
-0.09,-0.054,0.099,49995
-0.059,-0.031,0.094,50000
-0.04,-0.075,0.071,50005
-0.015,-0.081,0.09,50010
0.02,-0.09,0.094,50015
-0.024,-0.115,0.067,50020
0.003,-0.117,0.091,50025
0.02,-0.096,0.137,50030
0.044,-0.095,0.128,50035
0.001,-0.081,0.068,50040
0.001,-0.077,0.104,50045
0.001,-0.031,0.102,50050
-0.02,0.036,0.088,50055
-0.022,0.041,0.074,50059
-0.102,0.08,0.054,50064
-0.079,0.111,-0.006,50069
-0.084,0.13,-0.019,50074
-0.054,0.164,-0.038,50079
-0.061,0.143,-0.034,50084
-0.051,0.142,-0.096,50089
0.001,0.115,-0.03,50094
0.022,0.095,-0.083,50099
-0.014,0.059,-0.092,50104
-0.034,0.027,-0.07,50109
0.003,-0.018,-0.063,50114
0.011,-0.037,-0.061,50119
0.015,-0.042,-0.037,50124
0.013,-0.068,-0.012,50129
0.05,-0.065,-0.028,50134
0.071,-0.089,-0.021,50139
0.051,-0.059,-0.014,50144
0.098,-0.087,-0.03,50149
0.096,-0.087,-0.001,50154
0.095,-0.035,-0.001,50159
0.056,-0.045,0.015,50164
0.11,-0.049,0.027,50168
0.112,-0.035,0.011,50173
0.023,-0.036,-0.028,50178
0.038,-0.002,-0.008,50183
0.008,0.04,-0.041,50188
-0.009,0.036,-0.093,50193
-0.025,0.02,-0.084,50198
-0.031,0.039,-0.11,50203
0.01,0.048,-0.108,50208
0.013,0.108,-0.114,50213
0.007,0.088,-0.111,50218
0.011,0.105,-0.091,50223
0.049,0.142,-0.117,50228
0.074,0.119,-0.118,50233
0.041,0.107,-0.093,50238
0.041,0.109,-0.123,50243
0.045,0.124,-0.084,50248
0.011,0.09,-0.067,50253
0.022,0.03,-0.06,50258
0.02,-0.029,-0.02,50263
-0.02,-0.03,-0.018,50267
-0.001,-0.057,0.048,50272
0.012,-0.073,0.056,50277
-0.019,-0.087,0.089,50282
-0.004,-0.07,0.076,50287
-0.025,-0.067,0.107,50292
-0.027,-0.052,0.113,50297
-0.072,-0.016,0.145,50302
-0.056,-0.01,0.13,50307
-0.085,-0.001,0.1,50312
-0.037,0.0,0.112,50317
-0.025,0.012,0.087,50322
-0.065,0.015,0.07,50327
-0.02,0.022,0.072,50332
0.011,0.02,0.06,50337
-0.006,0.026,0.02,50342
0.006,0.019,0.009,50347
0.001,0.026,0.017,50352
0.018,0.04,-0.01,50357
0.038,0.054,-0.026,50362
