x,y,z,duration
-0.153,-0.034,0.217,3004
-0.129,-0.03,0.196,3009
-0.116,-0.031,0.219,3014
-0.087,0.001,0.257,3019
-0.134,0.001,0.214,3024
-0.103,0.001,0.258,3029
-0.05,-0.059,0.223,3033
-0.028,-0.079,0.231,3038
-0.055,-0.088,0.221,3043
-0.11,-0.066,0.19,3048
-0.09,-0.051,0.21,3053
-0.167,-0.054,0.223,3058
-0.271,-0.066,0.175,3063
-0.399,-0.064,0.058,3068
-0.557,-0.049,0.048,3073
-0.652,-0.027,0.082,3078
-0.583,-0.11,0.057,3083
-0.542,-0.19,0.15,3088
-0.613,-0.132,0.062,3093
-0.62,-0.062,0.176,3098
-0.412,-0.095,0.318,3103
-0.198,-0.133,0.213,3108
-0.105,-0.059,0.131,3113
0.021,-0.058,0.118,3118
0.221,-0.03,0.115,3123
0.38,0.024,0.073,3128
0.571,0.06,0.036,3132
0.651,0.127,-0.023,3137
0.685,0.209,-0.219,3142
0.729,0.279,-0.322,3147
0.686,0.354,-0.32,3152
0.635,0.396,-0.348,3157
0.562,0.387,-0.313,3162
0.459,0.391,-0.355,3167
0.361,0.318,-0.358,3172
0.213,0.286,-0.331,3177
0.123,0.244,-0.126,3182
0.015,0.134,-0.048,3187
-0.071,0.081,-0.078,3192
-0.081,0.009,0.093,3197
-0.142,-0.078,0.251,3202
-0.167,-0.156,0.373,3207
-0.258,-0.17,0.443,3212
-0.271,-0.205,0.524,3217
-0.244,-0.258,0.644,3222
-0.198,-0.279,0.64,3226
-0.182,-0.234,0.571,3231
-0.151,-0.15,0.544,3236
-0.119,-0.101,0.503,3241
-0.111,0.003,0.461,3246
-0.095,0.085,0.402,3251
-0.082,0.128,0.267,3256
-0.104,0.18,0.184,3261
-0.153,0.226,0.153,3266
-0.185,0.277,0.146,3271
-0.188,0.284,0.114,3276
-0.165,0.251,0.103,3281
-0.123,0.243,0.023,3286
-0.119,0.253,-0.03,3291
-0.103,0.262,-0.005,3296
-0.105,0.253,0.0,3301
-0.069,0.189,-0.009,3306
-0.002,0.153,-0.047,3311
0.054,0.142,-0.081,3316
0.078,0.149,-0.154,3321
0.152,0.138,-0.152,3325
0.184,0.103,-0.249,3330
0.287,0.054,-0.349,3335
0.331,0.036,-0.465,3340
0.35,0.041,-0.513,3345
0.353,0.058,-0.582,3350
0.361,0.061,-0.645,3355
0.342,0.072,-0.666,3360
0.381,0.039,-0.746,3365
0.434,0.026,-0.732,3370
0.412,0.032,-0.766,3375
0.392,0.0,-0.728,3380
0.413,0.007,-0.742,3385
0.376,0.084,-0.724,3390
0.382,0.097,-0.686,3395
0.373,0.113,-0.565,3400
0.336,0.102,-0.513,3405
0.311,0.079,-0.548,3410
0.284,0.049,-0.484,3415
0.238,0.031,-0.376,3420
0.133,0.045,-0.338,3424
0.033,0.015,-0.274,3429
-0.129,-0.003,-0.238,3434
-0.241,-0.05,-0.119,3439
-0.329,-0.053,-0.034,3444
-0.395,-0.07,-0.039,3449
-0.476,-0.063,-0.048,3454
-0.519,-0.078,-0.099,3459
-0.566,-0.066,-0.02,3464
-0.535,-0.115,-0.031,3469
-0.421,-0.108,-0.084,3474
-0.31,-0.093,-0.123,3479
