# Accelerometer Data File
# Started @Tue Apr 28 17:03:48 GMT+08:00 2020
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer
# sensor Resolution: 0.0023956299m/sec^2; Max Range: 156.9064; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the ","
# X,Y,Z,time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
0.346,8.753,0.229,0
0.316,7.865,0.223,4
0.275,7.122,0.214,5
0.248,6.405,0.214,5
0.236,5.76,0.193,5
0.204,5.171,0.16,5
0.175,4.658,0.123,5
0.11,4.21,0.119,5
0.116,3.771,0.159,5
0.126,3.373,0.134,5
0.092,3.031,0.134,5
0.069,2.702,0.099,5
0.05,2.458,0.102,5
0.045,2.199,0.061,5
0.04,1.949,0.029,5
0.014,1.754,0.048,5
0.009,1.604,0.073,5
0.021,1.431,0.062,5
0.01,1.283,0.051,5
-0.012,1.172,0.042,5
-0.01,1.046,0.003,5
-0.005,0.937,0.033,5
-0.004,0.869,0.034,5
-0.034,0.782,0.06,5
0.011,0.717,0.033,5
-0.01,0.65,0.017,5
0.003,0.559,0.032,5
0.02,0.52,0.05,5
0.061,0.464,0.024,5
0.05,0.409,0.043,4
0.041,0.368,0.073,5
0.071,0.301,0.048,5
0.025,0.296,0.069,5
0.036,0.271,0.028,5
0.028,0.222,0.047,5
-0.004,0.2,0.042,5
-0.025,0.171,0.02,5
-0.07,0.163,0.014,5
-0.054,0.125,0.004,5
-0.053,0.156,0.0,5
-0.057,0.118,0.004,5
-0.072,0.128,-0.009,5
-0.039,0.145,-0.042,5
-0.022,0.105,-0.008,5
-0.003,0.099,-0.02,5
-0.002,0.084,-0.091,5
0.027,0.046,-0.06,5
0.007,0.067,-0.029,5
0.023,0.06,0.012,5
0.047,0.05,-0.005,5
0.021,0.015,-0.048,5
0.023,0.039,-0.017,5
0.008,0.07,0.027,5
-0.022,0.045,0.015,5
0.035,0.071,-0.002,5
0.031,0.081,0.005,5
0.045,0.038,0.005,4
0.024,0.06,0.004,5
0.034,0.028,-0.012,5
0.078,0.03,0.031,5
0.105,0.04,-0.006,5
0.06,0.023,0.016,5
0.015,0.012,0.04,5
0.026,0.011,0.092,5
0.002,0.001,0.031,5
0.028,-0.028,0.01,5
0.021,-0.03,0.018,5
-0.028,0.015,-0.013,5
-0.034,-0.024,-0.012,5
-0.039,-0.03,0.036,5
-0.057,-0.031,0.045,5
-0.072,-0.041,0.045,5
-0.108,-0.015,0.04,5
-0.106,-0.027,0.062,5
-0.082,-0.037,0.052,5
-0.053,-0.025,0.064,5
-0.047,-0.039,0.027,5
-0.021,-0.048,0.042,5
0.002,-0.005,0.037,5
0.014,0.008,0.034,5
-0.02,-0.005,0.022,5
-0.014,0.033,0.041,5
-0.021,0.034,-0.031,5
-0.049,0.022,-0.019,5
-0.04,0.067,-0.061,4
-0.057,0.035,-0.106,5
-0.039,0.014,-0.078,5
-0.009,0.008,-0.079,5
-0.012,0.05,-0.049,5
0.044,0.041,-0.019,5
0.061,0.028,-0.017,5
0.076,0.056,0.001,5
0.064,0.028,0.023,5
0.08,0.008,0.012,5
0.102,0.016,0.01,5
0.096,-0.011,0.022,5
0.039,-0.014,0.011,5
0.026,0.0,-0.023,5
0.002,-0.004,-0.012,5
-0.015,-0.008,-0.007,5
0.012,0.005,-0.023,5
