x,y,z,duration
-0.271,0.024,-0.008,213375
-0.214,0.039,0.005,213380
-0.201,-0.003,0.017,213385
-0.211,0.009,0.037,213390
-0.19,0.0,0.033,213395
-0.132,0.013,0.021,213400
-0.127,0.003,0.032,213405
-0.102,-0.022,0.037,213410
-0.083,-0.029,0.038,213415
-0.083,-0.03,0.038,213420
-0.057,-0.027,0.043,213425
-0.073,-0.055,0.052,213429
-0.074,-0.049,0.021,213434
-0.054,-0.014,0.019,213439
-0.087,-0.051,0.008,213444
-0.126,-0.037,-0.009,213449
-0.096,-0.029,-0.025,213454
-0.086,-0.013,-0.044,213459
-0.099,0.004,-0.023,213464
-0.059,0.008,-0.02,213469
-0.036,0.016,-0.04,213474
-0.05,0.018,-0.031,213479
-0.066,0.012,-0.037,213484
-0.042,0.028,-0.068,213489
-0.042,0.034,-0.039,213494
-0.034,0.022,-0.009,213499
0.029,0.015,-0.034,213504
0.035,0.009,-0.035,213509
0.023,-0.012,-0.036,213514
0.033,0.001,0.01,213519
0.021,-0.011,-0.007,213524
0.028,-0.031,0.035,213528
-0.004,-0.032,0.015,213533
-0.008,-0.034,-0.007,213538
-0.02,-0.034,0.014,213543
-0.035,-0.052,0.043,213548
-0.062,-0.021,0.043,213553
-0.069,-0.019,0.034,213558
-0.062,-0.017,0.074,213563
-0.017,0.014,0.053,213568
-0.032,0.03,0.018,213573
-0.059,0.022,0.012,213578
-0.049,0.059,0.036,213583
-0.048,0.057,0.033,213588
-0.074,0.064,0.021,213593
-0.014,0.054,0.027,213598
-0.039,0.057,0.003,213603
-0.031,0.073,0.015,213608
-0.014,0.07,0.01,213613
-0.035,0.088,-0.021,213618
-0.022,0.071,-0.044,213623
-0.02,0.094,-0.07,213628
-0.014,0.136,-0.08,213632
-0.021,0.157,-0.081,213637
-0.006,0.133,-0.116,213642
0.067,0.085,-0.091,213647
0.116,0.05,-0.104,213652
0.105,0.063,-0.11,213657
0.133,0.013,-0.138,213662
0.124,-0.004,-0.124,213667
0.098,-0.064,-0.077,213672
0.11,-0.079,-0.082,213677
0.073,-0.054,-0.04,213682
0.079,-0.096,-0.027,213687
0.049,-0.069,-0.029,213692
0.053,-0.067,-0.052,213697
0.004,-0.086,-0.046,213702
