x,y,z,duration
-0.361,7.758,0.888,4
-0.325,6.973,0.799,9
-0.284,6.28,0.698,14
-0.264,5.674,0.598,19
-0.298,5.089,0.581,24
-0.281,4.584,0.51,29
-0.266,4.148,0.429,34
-0.23,3.703,0.433,39
-0.242,3.328,0.399,44
-0.213,2.995,0.324,49
-0.166,2.708,0.309,54
-0.192,2.446,0.282,59
-0.156,2.176,0.25,64
-0.106,1.954,0.186,69
-0.082,1.763,0.167,74
-0.078,1.595,0.211,79
-0.083,1.444,0.164,84
-0.015,1.3,0.091,89
0.0,1.191,0.082,94
-0.009,1.098,0.065,99
-0.003,1.001,0.059,103
-0.02,0.875,0.074,108
-0.01,0.796,0.08,113
-0.034,0.708,0.072,118
-0.057,0.598,0.095,123
-0.055,0.53,0.115,128
-0.093,0.472,0.104,133
-0.084,0.378,0.042,138
0.014,0.323,0.154,143
0.09,0.277,0.151,148
0.038,0.232,0.145,153
0.056,0.244,0.152,158
0.08,0.21,0.089,163
0.034,0.202,0.076,168
-0.003,0.208,0.038,173
-0.02,0.2,0.0,178
0.011,0.189,-0.004,183
-0.011,0.148,0.056,188
-0.005,0.125,0.059,193
0.033,0.103,0.062,198
0.004,0.089,0.064,203
-0.021,0.071,-0.019,207
-0.011,0.073,-0.017,212
-0.001,0.078,0.005,217
0.003,0.079,-0.042,222
-0.048,0.084,-0.223,227
-0.225,0.101,-0.455,232
-0.034,-0.003,0.297,237
0.072,0.001,0.026,242
-0.008,0.009,0.083,247
-0.02,0.043,0.045,252
-0.005,0.073,0.032,257
-0.017,0.057,0.059,262
0.001,0.034,0.04,267
-0.02,0.048,0.031,272
-0.031,0.06,0.002,277
0.014,0.05,-0.014,282
0.022,0.045,-0.008,287
0.058,0.036,-0.008,292
0.065,0.024,-0.02,297
-0.005,0.0,0.02,302
-0.009,0.017,0.014,306
0.004,0.024,0.064,311
0.0,-0.008,0.036,316
0.034,-0.003,0.037,321
0.0,0.035,0.05,326
0.009,0.036,0.015,331
0.012,0.011,0.009,336
-0.018,0.01,0.012,341
-0.003,0.004,0.007,346
-0.02,-0.004,0.015,351
0.007,0.009,-0.012,356
0.023,0.012,-0.032,361
-0.017,0.015,-0.016,366
-0.024,0.018,-0.018,371
-0.034,-0.004,-0.012,376
-0.014,-0.017,-0.011,381
-0.038,0.005,-0.001,386
0.0,-0.024,-0.01,391
0.0,-0.022,0.038,396
-0.013,-0.002,0.03,401
-0.016,-0.028,-0.003,406
0.002,-0.008,0.005,410
0.028,-0.007,0.0,415
-0.004,0.014,-0.003,420
0.008,-0.021,-0.024,425
0.003,-0.006,-0.009,430
-0.001,-0.009,-0.029,435
0.024,-0.03,-0.022,440
-0.007,-0.014,0.005,445
-0.015,0.008,-0.003,450
0.011,0.0,0.013,455
-0.002,0.029,-0.013,460
-0.058,0.039,-0.029,465
-0.004,0.035,-0.009,470
0.0,0.027,0.0,475
-0.013,0.037,-0.016,480
0.018,0.021,-0.04,485
-0.009,0.023,-0.002,490
0.008,0.012,-0.002,495
-0.004,-0.001,-0.036,500
0.0,0.019,-0.011,505
0.017,0.039,0.011,509
0.002,0.009,0.005,514
0.01,-0.025,0.005,519
0.035,-0.027,0.043,524
0.049,-0.016,0.034,529
0.04,-0.027,0.022,534
0.023,-0.037,0.011,539
0.033,-0.008,-0.015,544
0.043,-0.002,-0.004,549
