x,y,z,duration
-0.276,-0.299,0.256,152438
-0.287,-0.235,0.265,152443
-0.198,-0.211,0.2,152448
-0.135,-0.164,0.197,152453
-0.126,-0.087,0.16,152458
-0.04,0.011,0.183,152463
-0.032,0.061,0.095,152468
-0.003,0.124,0.073,152473
0.014,0.198,0.027,152478
0.047,0.269,-0.022,152483
0.021,0.328,-0.046,152488
-0.024,0.351,-0.084,152493
0.012,0.415,-0.102,152498
0.015,0.425,-0.148,152502
0.018,0.387,-0.141,152507
-0.009,0.34,-0.179,152512
-0.064,0.284,-0.152,152517
-0.083,0.182,-0.141,152522
-0.088,0.104,-0.093,152527
-0.096,0.007,-0.101,152532
-0.065,-0.088,-0.043,152537
-0.033,-0.113,0.008,152542
-0.012,-0.184,0.003,152547
0.018,-0.23,0.093,152552
-0.004,-0.237,0.135,152557
0.039,-0.235,0.152,152562
0.069,-0.224,0.106,152567
0.058,-0.176,0.113,152572
0.069,-0.163,0.145,152577
0.071,-0.125,0.152,152582
0.059,-0.091,0.145,152587
0.062,-0.064,0.118,152592
0.056,-0.028,0.058,152597
0.007,0.043,0.104,152601
-0.006,0.06,0.081,152606
-0.009,0.097,0.043,152611
0.004,0.169,0.025,152616
-0.004,0.165,0.023,152621
-0.021,0.136,-0.009,152626
-0.036,0.122,0.0,152631
0.005,0.127,-0.038,152636
-0.05,0.101,-0.077,152641
-0.075,0.096,-0.044,152646
-0.051,0.069,-0.052,152651
-0.05,0.062,-0.056,152656
-0.023,0.043,-0.015,152661
0.021,0.056,0.015,152666
0.049,0.059,0.053,152671
0.01,0.014,0.026,152676
0.009,0.021,0.049,152681
0.004,0.028,0.035,152686
0.042,0.0,0.096,152691
0.012,-0.039,0.065,152696
0.024,-0.061,0.072,152701
0.017,-0.046,0.112,152705
-0.01,-0.059,0.079,152710
0.012,-0.066,0.071,152715
0.006,-0.059,0.064,152720
-0.015,-0.036,0.101,152725
-0.031,-0.028,0.082,152730
0.002,-0.047,0.074,152735
-0.028,-0.055,0.079,152740
-0.046,-0.015,0.067,152745
-0.059,-0.013,0.051,152750
-0.027,-0.003,0.042,152755
-0.016,0.009,0.008,152760
-0.031,0.038,-0.031,152765
-0.05,0.034,-0.011,152770
-0.006,0.018,0.007,152775
0.015,0.059,0.006,152780
-0.028,0.075,0.005,152785
-0.073,0.076,-0.037,152790
