x,y,z,duration
-0.297,-0.067,0.029,232311
-0.25,-0.069,0.013,232316
-0.256,-0.092,0.033,232321
-0.208,-0.079,0.021,232326
-0.175,-0.071,0.002,232331
-0.17,-0.089,-0.002,232336
-0.127,-0.102,0.019,232341
-0.11,-0.083,0.017,232346
-0.069,-0.07,0.007,232351
-0.096,-0.046,0.002,232356
-0.061,-0.05,-0.002,232361
-0.033,-0.049,0.006,232366
0.043,-0.062,0.005,232371
0.107,-0.025,0.005,232376
0.135,-0.014,0.013,232381
0.165,0.004,0.007,232386
0.252,-0.009,-0.01,232391
0.282,0.004,0.029,232396
0.293,0.0,0.0,232401
0.251,-0.004,-0.003,232406
0.294,0.021,0.035,232410
0.248,0.015,0.079,232415
0.24,0.018,0.084,232420
0.246,-0.005,0.084,232425
0.217,0.0,0.101,232430
0.165,-0.004,0.156,232435
0.127,-0.008,0.166,232440
0.114,-0.016,0.21,232445
0.086,-0.018,0.172,232450
0.047,-0.012,0.124,232455
0.003,-0.007,0.073,232460
-0.009,-0.04,0.018,232465
-0.004,-0.032,0.016,232470
-0.055,-0.042,-0.015,232475
-0.11,-0.059,-0.022,232480
-0.073,-0.053,-0.019,232485
-0.091,-0.052,-0.048,232490
-0.104,-0.051,-0.073,232495
-0.115,-0.029,-0.117,232500
-0.09,-0.004,-0.131,232505
-0.047,0.0,-0.114,232510
-0.102,0.051,-0.124,232514
-0.092,0.037,-0.133,232519
-0.087,0.025,-0.077,232524
-0.057,0.027,-0.06,232529
0.008,0.024,-0.028,232534
-0.022,0.004,0.012,232539
-0.02,0.03,0.011,232544
0.037,0.009,0.066,232549
0.016,-0.029,0.076,232554
0.015,-0.018,0.09,232559
-0.029,-0.05,0.137,232564
-0.004,-0.05,0.136,232569
0.0,-0.045,0.136,232574
-0.094,-0.031,0.144,232579
-0.085,-0.024,0.146,232584
-0.072,-0.004,0.102,232589
-0.086,0.0,0.091,232594
-0.095,-0.03,0.074,232599
-0.06,0.011,0.058,232604
-0.041,0.032,0.052,232609
-0.054,0.063,0.051,232613
-0.027,0.078,0.028,232618
0.022,0.1,0.004,232623
0.029,0.064,-0.026,232628
0.039,0.075,-0.001,232633
0.061,0.106,-0.031,232638
0.055,0.091,-0.041,232643
0.079,0.065,-0.067,232648
0.114,0.093,-0.03,232653
0.12,0.032,-0.019,232658
0.117,0.024,-0.03,232663
0.144,-0.042,-0.039,232668
0.125,-0.051,-0.048,232673
0.078,-0.063,-0.052,232678
0.061,-0.065,0.0,232683
0.064,-0.084,0.012,232688
0.01,-0.071,-0.018,232693
0.031,-0.026,-0.046,232698
0.045,-0.04,-0.046,232703
0.006,-0.053,-0.059,232708
0.018,0.007,-0.057,232712
0.0,0.002,-0.077,232717
-0.009,0.006,-0.117,232722
-0.038,0.01,-0.096,232727
-0.043,0.013,-0.061,232732
-0.043,0.033,-0.072,232737
-0.06,0.086,-0.082,232742
-0.024,0.064,-0.065,232747
-0.047,0.071,-0.011,232752
-0.021,0.094,-0.023,232757
-0.04,0.067,-0.012,232762
-0.04,0.047,0.006,232767
-0.036,0.043,0.022,232772
-0.046,0.021,0.063,232777
0.01,-0.01,0.057,232782
0.004,-0.018,0.09,232787
-0.021,-0.025,0.072,232792
0.015,-0.031,0.043,232797
0.005,-0.036,0.06,232802
-0.008,-0.041,0.08,232807
0.013,-0.033,0.064,232811
-0.021,-0.051,0.061,232816
-0.015,-0.029,0.034,232821
-0.039,-0.021,0.026,232826
-0.009,-0.011,0.01,232831
0.016,0.046,-0.007,232836
-0.001,0.028,-0.006,232841
-0.044,0.021,0.006,232846
-0.031,0.006,0.006,232851
-0.084,0.018,0.009,232856
-0.063,0.012,0.0,232861
-0.039,0.019,-0.008,232866
-0.044,0.022,-0.024,232871
-0.048,-0.027,0.029,232876
0.029,-0.063,0.022,232881
0.013,-0.048,-0.018,232886
0.025,-0.035,0.026,232891
0.027,-0.04,0.01,232896
0.02,-0.031,0.009,232901
0.03,-0.02,0.004,232906
0.019,-0.035,0.021,232911
-0.012,-0.027,0.066,232915
0.018,-0.029,0.076,232920
-0.026,-0.004,0.026,232925
-0.036,-0.004,0.04,232930
0.014,-0.02,0.036,232935
0.004,-0.005,0.007,232940
-0.039,0.033,-0.027,232945
-0.005,0.017,-0.063,232950
-0.03,0.041,-0.014,232955
0.007,0.054,-0.069,232960
0.014,0.053,-0.057,232965
0.009,0.017,-0.09,232970
-0.008,0.02,-0.09,232975
0.017,0.005,-0.077,232980
-0.005,-0.012,-0.099,232985
-0.004,-0.032,-0.055,232990
0.012,-0.02,-0.049,232995
-0.001,-0.005,-0.035,233000
0.007,-0.005,-0.023,233005
0.006,-0.013,0.021,233010
-0.002,-0.007,0.028,233014
-0.015,0.018,0.0,233019
-0.018,0.012,0.021,233024
0.013,0.007,0.04,233029
0.038,0.002,0.04,233034
0.034,0.014,0.058,233039
0.018,0.039,0.056,233044
0.042,0.018,0.007,233049
0.012,0.02,0.033,233054
0.019,0.031,0.051,233059
0.008,-0.006,0.037,233064
0.025,-0.009,0.0,233069
0.031,-0.008,-0.013,233074
0.062,-0.012,-0.012,233079
0.03,-0.036,-0.036,233084
0.036,-0.015,0.001,233089
0.006,-0.048,0.009,233094
-0.006,-0.043,0.0,233099
-0.01,-0.03,-0.017,233104
0.024,-0.027,-0.023,233109
0.005,-0.055,0.0,233113
0.021,-0.023,0.0,233118
0.015,-0.03,0.0,233123
-0.016,-0.044,0.034,233128
0.002,0.011,-0.007,233133
0.028,0.027,-0.015,233138
0.046,0.02,0.011,233143
0.076,0.01,0.032,233148
0.081,0.013,0.024,233153
0.078,-0.035,0.022,233158
0.096,-0.001,0.041,233163
0.06,0.032,0.041,233168
0.033,-0.03,0.024,233173
0.034,-0.031,0.022,233178
0.06,0.005,0.006,233183
0.011,-0.003,0.014,233188
0.032,-0.007,-0.029,233193
0.011,-0.01,-0.009,233198
-0.024,-0.009,0.0,233203
0.012,-0.017,0.008,233208
0.007,-0.037,0.029,233212
0.015,0.013,-0.003,233217
0.013,0.008,0.018,233222
-0.009,0.007,0.016,233227
0.0,-0.023,0.01,233232
0.043,0.008,0.005,233237
0.004,0.003,-0.034,233242
0.004,-0.009,0.029,233247
0.0,-0.017,0.017,233252
0.008,-0.006,0.02,233257
0.02,0.002,-0.011,233262
0.026,-0.045,0.01,233267
0.024,-0.049,0.052,233272
0.043,-0.014,0.021,233277
-0.008,-0.034,-0.014,233282
0.018,-0.039,0.0,233287
0.016,-0.026,-0.017,233292
0.036,-0.028,0.001,233297
0.002,-0.008,-0.011,233302
0.015,0.009,0.023,233307
-0.02,0.008,0.038,233312
-0.027,0.016,0.026,233316
-0.05,0.057,-0.01,233321
-0.028,0.039,0.024,233326
0.0,0.022,0.013,233331
-0.021,0.058,-0.03,233336
-0.023,0.035,-0.014,233341
-0.059,0.045,-0.013,233346
-0.023,0.014,-0.003,233351
0.0,-0.003,-0.028,233356
0.008,-0.003,-0.064,233361
-0.004,-0.02,-0.015,233366
-0.008,0.028,0.007,233371
-0.012,0.021,-0.018,233376
-0.019,-0.001,-0.012,233381
-0.013,-0.006,-0.024,233386
0.026,-0.018,-0.004,233391
0.006,-0.025,0.013,233396
0.023,0.007,0.003,233401
0.042,0.006,-0.018,233406
0.025,0.01,-0.003,233411
0.053,0.022,-0.016,233415
0.034,0.002,0.015,233420
0.022,0.019,0.0,233425
0.033,0.026,0.009,233430
0.03,0.032,0.034,233435
0.022,0.033,-0.02,233440
0.037,0.025,-0.023,233445
0.021,0.018,0.039,233450
-0.011,0.021,0.005,233455
0.011,0.023,0.0,233460
-0.011,0.012,-0.046,233465
0.02,-0.005,-0.037,233470
0.048,0.016,0.009,233475
0.013,0.001,-0.034,233480
0.007,-0.024,-0.074,233485
0.019,-0.017,-0.028,233490
0.004,-0.002,-0.047,233495
0.012,-0.011,-0.042,233500
-0.001,-0.005,-0.016,233505
-0.005,-0.018,-0.001,233510
-0.009,-0.024,0.006,233514
0.069,0.007,-0.024,233519
0.01,0.011,0.012,233524
0.0,-0.02,0.011,233529
0.005,-0.018,-0.032,233534
0.034,0.013,0.009,233539
0.027,-0.004,-0.004,233544
-0.01,0.008,-0.029,233549
0.0,0.025,-0.035,233554
0.038,-0.003,0.002,233559
0.012,0.009,-0.006,233564
0.011,-0.012,-0.018,233569
0.019,0.005,0.013,233574
-0.004,0.035,0.0,233579
-0.025,0.023,0.02,233584
-0.018,-0.004,0.027,233589
-0.016,0.012,-0.018,233594
-0.002,0.024,-0.016,233599
-0.036,0.004,-0.027,233604
-0.028,0.008,0.017,233609
-0.008,0.0,-0.001,233613
0.001,-0.013,0.02,233618
0.031,-0.025,-0.02,233623
-0.01,-0.001,-0.018,233628
0.037,-0.026,-0.007,233633
0.012,-0.032,-0.041,233638
-0.006,-0.029,-0.033,233643
0.02,-0.017,-0.034,233648
0.026,0.001,-0.052,233653
-0.001,0.0,-0.042,233658
-0.018,-0.012,-0.047,233663
0.021,0.019,-0.081,233668
-0.023,0.051,-0.06,233673
-0.02,0.042,-0.036,233678
-0.023,0.046,-0.024,233683
-0.029,0.05,-0.034,233688
-0.004,0.067,-0.014,233693
0.017,0.051,-0.038,233698
-0.019,0.033,-0.043,233703
-0.021,0.03,0.004,233708
-0.002,0.014,-0.035,233713
0.023,0.025,-0.04,233717
0.004,0.023,-0.027,233722
-0.013,-0.009,-0.007,233727
-0.007,-0.016,-0.028,233732
-0.032,-0.01,-0.025,233737
-0.025,-0.009,0.002,233742
0.007,-0.017,-0.027,233747
-0.01,-0.041,-0.024,233752
-0.026,-0.037,-0.03,233757
-0.002,-0.033,-0.006,233762
-0.01,-0.013,0.02,233767
0.003,-0.007,-0.033,233772
0.002,-0.011,-0.03,233777
-0.014,-0.005,-0.018,233782
-0.034,0.0,-0.042,233787
-0.022,-0.022,-0.038,233792
-0.02,0.001,-0.025,233797
-0.035,0.035,-0.01,233802
-0.032,0.019,-0.039,233807
0.009,0.017,-0.048,233812
-0.003,0.024,-0.043,233816
0.009,0.013,-0.078,233821
0.021,0.024,-0.048,233826
-0.01,0.005,-0.03,233831
0.003,0.021,-0.053,233836
-0.014,0.015,-0.018,233841
-0.021,-0.029,-0.02,233846
-0.002,-0.034,-0.022,233851
-0.002,-0.044,-0.003,233856
0.028,-0.014,0.005,233861
-0.008,0.0,-0.003,233866
0.022,-0.008,0.001,233871
0.024,-0.016,0.009,233876
0.017,-0.014,0.034,233881
0.02,-0.004,-0.007,233886
0.035,0.013,-0.019,233891
0.014,-0.005,-0.048,233896
0.013,0.0,-0.03,233901
0.02,-0.009,-0.01,233906
0.044,0.021,-0.03,233911
-0.007,0.011,0.015,233915
-0.024,-0.002,0.001,233920
0.004,-0.011,-0.02,233925
0.025,-0.014,0.015,233930
0.005,-0.012,-0.007,233935
0.035,-0.02,-0.015,233940
0.01,-0.022,-0.026,233945
0.0,-0.015,-0.015,233950
-0.012,-0.001,0.046,233955
-0.006,0.015,0.029,233960
0.006,0.018,-0.012,233965
-0.015,0.051,0.01,233970
-0.061,0.037,-0.003,233975
-0.046,0.042,0.005,233980
0.005,0.046,0.013,233985
0.013,0.033,0.007,233990
-0.013,0.043,0.006,233995
0.022,0.025,0.001,234000
-0.005,0.027,-0.002,234005
0.007,0.02,-0.058,234010
-0.014,-0.003,-0.018,234014
0.008,0.001,-0.029,234019
-0.014,-0.015,-0.039,234024
0.0,-0.018,-0.005,234029
0.026,-0.003,-0.026,234034
0.023,0.005,-0.014,234039
0.046,-0.021,0.008,234044
-0.03,-0.019,-0.005,234049
0.019,-0.03,-0.026,234054
0.043,-0.027,0.023,234059
0.0,-0.015,0.038,234064
-0.06,-0.005,0.034,234069
-0.032,0.003,0.0,234074
0.005,0.007,0.069,234079
0.039,0.019,0.058,234084
0.018,-0.008,0.031,234089
-0.018,0.018,0.053,234094
-0.007,0.003,0.057,234099
0.036,0.007,0.051,234104
-0.014,0.024,0.059,234109
0.008,0.0,0.053,234113
0.002,0.013,0.013,234118
0.002,0.016,0.02,234123
0.054,-0.015,0.014,234128
0.031,-0.027,-0.025,234133
0.036,-0.032,-0.027,234138
-0.009,-0.029,-0.02,234143
-0.004,-0.039,-0.035,234148
-0.025,-0.039,-0.023,234153
-0.023,-0.044,-0.034,234158
-0.02,-0.014,-0.013,234163
-0.005,-0.055,-0.012,234168
0.003,-0.028,-0.01,234173
0.003,-0.03,-0.022,234178
0.007,-0.04,-0.024,234183
0.027,-0.023,-0.017,234188
-0.035,-0.007,0.018,234193
0.02,0.01,0.007,234198
0.035,0.004,0.002,234203
0.01,0.004,0.028,234208
0.017,0.029,0.038,234213
-0.014,0.035,0.034,234217
-0.017,0.036,0.044,234222
0.036,0.019,0.009,234227
0.011,0.034,-0.017,234232
0.01,0.035,-0.002,234237
-0.034,0.001,-0.028,234242
-0.034,0.036,0.009,234247
-0.001,0.024,0.016,234252
-0.018,-0.017,0.006,234257
0.017,-0.011,0.031,234262
-0.039,-0.014,0.011,234267
0.007,-0.017,0.023,234272
0.028,-0.011,0.025,234277
-0.022,-0.027,0.009,234282
-0.037,-0.015,0.038,234287
-0.003,-0.018,0.052,234292
-0.041,-0.003,0.021,234297
0.001,-0.02,0.001,234302
-0.003,-0.022,-0.019,234307
-0.028,0.013,0.016,234312
-0.021,-0.013,0.062,234316
0.006,-0.003,-0.012,234321
-0.028,0.005,0.031,234326
-0.034,0.009,0.015,234331
0.007,0.012,0.044,234336
-0.001,-0.005,-0.012,234341
0.033,0.007,0.027,234346
-0.013,0.028,0.042,234351
-0.012,-0.004,0.051,234356
0.006,-0.017,0.033,234361
-0.041,0.001,0.034,234366
-0.02,0.006,0.034,234371
0.0,-0.016,0.009,234376
-0.018,-0.01,0.026,234381
-0.024,0.0,0.014,234386
-0.035,0.0,-0.012,234391
-0.014,0.003,-0.045,234396
0.004,0.003,-0.023,234401
-0.048,0.007,-0.004,234406
-0.034,0.015,-0.012,234411
0.011,-0.012,0.014,234416
0.002,-0.006,0.013,234420
0.001,-0.014,-0.013,234425
-0.006,-0.004,0.034,234430
0.032,0.013,0.031,234435
-0.022,-0.018,0.028,234440
-0.024,-0.007,0.046,234445
-0.004,-0.032,0.05,234450
0.004,-0.003,0.067,234455
0.008,-0.024,0.039,234460
-0.001,-0.035,0.022,234465
-0.031,-0.018,0.05,234470
-0.019,-0.008,0.006,234475
-0.056,-0.016,0.022,234480
-0.042,-0.01,0.029,234485
-0.02,0.0,-0.008,234490
-0.035,0.0,-0.003,234495
-0.019,0.016,0.027,234500
-0.021,0.036,-0.039,234505
-0.015,0.028,-0.035,234510
0.007,0.004,-0.002,234514
0.002,0.012,0.01,234519
0.002,-0.023,-0.015,234524
0.01,0.0,0.015,234529
0.031,-0.016,0.065,234534
0.019,-0.023,0.037,234539
0.034,-0.025,0.021,234544
0.009,-0.018,0.01,234549
0.0,-0.051,-0.012,234554
0.03,-0.024,0.04,234559
0.031,0.012,0.028,234564
0.028,-0.01,0.02,234569
0.025,-0.013,0.031,234574
0.018,0.009,0.028,234579
-0.008,-0.008,0.03,234584
0.004,0.022,0.018,234589
0.0,0.002,-0.022,234594
-0.012,0.01,-0.002,234599
0.035,0.009,0.006,234604
0.027,0.017,0.018,234609
0.007,0.028,-0.03,234614
0.007,0.017,-0.006,234618
0.002,0.049,0.007,234623
-0.019,0.036,-0.014,234628
-0.013,0.006,0.008,234633
0.0,0.036,0.02,234638
-0.038,0.037,0.0,234643
-0.038,0.024,0.052,234648
-0.043,0.03,0.017,234653
-0.021,-0.002,0.015,234658
-0.036,-0.01,0.035,234663
0.014,-0.014,0.001,234668
0.0,-0.012,0.001,234673
-0.012,-0.007,-0.02,234678
0.044,-0.023,-0.009,234683
0.031,-0.038,0.004,234688
