x,y,z,duration
0.27,0.254,-0.087,98712
0.17,0.276,-0.109,98717
0.106,0.291,-0.089,98722
0.005,0.249,-0.033,98727
-0.034,0.25,-0.03,98732
-0.091,0.199,0.046,98737
-0.107,0.158,0.11,98742
-0.071,0.137,0.142,98747
-0.094,0.085,0.141,98752
-0.097,0.094,0.144,98757
-0.04,0.119,0.168,98762
-0.045,0.158,0.19,98767
-0.032,0.212,0.188,98772
0.065,0.233,0.161,98777
0.089,0.24,0.162,98782
0.11,0.22,0.159,98787
0.099,0.198,0.156,98792
0.115,0.166,0.162,98796
0.129,0.067,0.145,98801
0.129,-0.016,0.144,98806
0.078,-0.079,0.099,98811
0.018,-0.114,0.128,98816
-0.03,-0.206,0.145,98821
-0.036,-0.276,0.135,98826
-0.11,-0.27,0.126,98831
-0.073,-0.282,0.109,98836
-0.087,-0.275,0.132,98841
-0.152,-0.248,0.098,98846
-0.098,-0.205,0.101,98851
-0.075,-0.168,0.112,98856
-0.076,-0.134,0.118,98861
-0.094,-0.094,0.111,98866
-0.067,-0.063,0.052,98871
-0.086,-0.022,0.047,98876
-0.056,0.044,0.038,98881
-0.007,0.056,0.03,98886
-0.041,0.081,-0.041,98891
-0.028,0.086,-0.063,98896
0.004,0.103,-0.078,98900
0.059,0.131,-0.096,98905
0.036,0.148,-0.121,98910
0.084,0.146,-0.113,98915
0.089,0.153,-0.11,98920
0.11,0.142,-0.095,98925
0.103,0.137,-0.055,98930
0.097,0.118,-0.041,98935
0.109,0.094,-0.015,98940
0.15,0.058,0.002,98945
0.135,0.044,0.075,98950
0.104,0.035,0.089,98955
0.124,0.019,0.089,98960
0.124,-0.03,0.089,98965
0.107,-0.04,0.131,98970
0.105,-0.044,0.148,98975
0.099,-0.057,0.108,98980
0.098,-0.064,0.14,98985
0.062,-0.109,0.113,98990
0.034,-0.133,0.071,98995
0.013,-0.115,0.06,99000
0.016,-0.086,0.019,99004
0.006,-0.091,-0.016,99009
