x,y,z,duration
-0.275,-0.012,0.155,45869
-0.204,-0.002,0.118,45874
-0.162,0.054,0.097,45879
-0.107,0.061,0.027,45884
-0.075,0.089,-0.026,45889
-0.024,0.08,-0.088,45894
-0.026,0.09,-0.097,45899
-0.01,0.089,-0.095,45903
-0.022,0.041,-0.086,45908
-0.016,0.007,-0.051,45913
-0.053,-0.001,-0.055,45918
-0.065,-0.018,-0.041,45923
-0.08,-0.008,0.027,45928
-0.106,-0.029,0.059,45933
-0.074,-0.026,0.062,45938
-0.114,0.01,0.06,45943
-0.12,0.044,0.079,45948
-0.112,0.031,0.123,45953
-0.148,0.041,0.085,45958
-0.146,0.084,0.055,45963
-0.067,0.106,0.054,45968
-0.06,0.125,0.061,45973
-0.037,0.091,0.068,45978
-0.003,0.116,0.018,45983
0.027,0.113,0.064,45988
0.076,0.085,0.057,45993
0.111,0.076,0.026,45998
0.109,0.081,0.044,46003
0.123,0.034,0.018,46007
0.15,-0.003,0.021,46012
0.161,-0.011,0.032,46017
0.123,-0.057,0.028,46022
0.141,-0.125,0.008,46027
0.148,-0.168,0.033,46032
0.159,-0.173,0.047,46037
0.1,-0.224,0.017,46042
0.086,-0.219,0.019,46047
0.077,-0.193,0.047,46052
0.022,-0.191,0.043,46057
-0.001,-0.163,0.047,46062
-0.057,-0.117,0.038,46067
-0.021,-0.092,0.073,46072
-0.049,-0.074,0.057,46077
-0.1,-0.041,0.081,46082
-0.077,0.005,0.09,46087
-0.069,0.044,0.107,46092
-0.079,0.078,0.075,46097
-0.097,0.109,0.084,46102
-0.088,0.085,0.063,46106
-0.109,0.115,0.121,46111
-0.111,0.147,0.079,46116
-0.052,0.136,0.097,46121
-0.034,0.127,0.087,46126
-0.031,0.067,0.078,46131
-0.028,0.073,0.101,46136
0.0,0.074,0.086,46141
0.0,0.007,0.086,46146
0.017,0.023,0.065,46151
0.05,-0.021,0.127,46156
0.019,-0.075,0.149,46161
0.004,-0.068,0.125,46166
0.017,-0.078,0.095,46171
0.015,-0.113,0.073,46176
-0.016,-0.098,0.053,46181
-0.006,-0.079,0.108,46186
-0.027,-0.097,0.11,46191
-0.05,-0.105,0.064,46196
-0.027,-0.103,0.036,46201
-0.046,-0.084,0.05,46205
-0.076,-0.028,0.066,46210
-0.051,-0.034,-0.004,46215
-0.059,-0.035,0.021,46220
-0.079,-0.027,0.019,46225
-0.079,-0.015,0.009,46230
-0.097,0.002,0.003,46235
-0.053,0.032,-0.005,46240
-0.082,0.068,0.016,46245
-0.083,0.074,0.023,46250
-0.044,0.097,-0.004,46255
-0.061,0.078,-0.012,46260
-0.081,0.131,-0.028,46265
-0.064,0.165,-0.017,46270
-0.023,0.131,-0.028,46275
0.0,0.118,0.004,46280
0.03,0.111,-0.008,46285
0.023,0.043,0.009,46290
0.033,0.026,-0.017,46295
0.064,-0.006,-0.054,46300
0.079,-0.057,-0.018,46305
0.084,-0.081,-0.038,46309
0.089,-0.099,-0.013,46314
0.076,-0.059,-0.003,46319
0.064,-0.109,-0.033,46324
0.049,-0.089,-0.094,46329
0.095,-0.05,-0.054,46334
0.06,-0.032,-0.032,46339
0.054,-0.025,-0.05,46344
0.053,-0.035,-0.045,46349
0.06,-0.019,-0.075,46354
0.05,0.013,-0.085,46359
0.041,-0.009,-0.059,46364
0.019,-0.021,-0.092,46369
0.052,0.001,-0.061,46374
0.008,0.014,-0.046,46379
0.011,-0.004,-0.072,46384
0.027,0.017,-0.039,46389
0.025,0.007,0.0,46394
0.018,0.019,0.02,46399
-0.005,0.013,0.018,46404
-0.004,0.025,0.068,46408
-0.012,0.013,0.053,46413
0.01,0.021,0.086,46418
-0.016,-0.006,0.065,46423
-0.019,-0.006,0.071,46428
-0.017,-0.009,0.09,46433
-0.058,0.0,0.046,46438
-0.083,0.021,0.037,46443
-0.092,0.01,0.025,46448
-0.065,0.009,0.027,46453
-0.054,0.051,0.011,46458
-0.07,0.029,0.066,46463
-0.098,0.026,0.064,46468
-0.092,0.062,0.044,46473
-0.1,0.047,0.048,46478
-0.116,0.034,0.0,46483
-0.083,0.048,0.009,46488
-0.092,0.021,0.008,46493
-0.095,0.015,0.011,46498
-0.034,0.005,0.006,46503
-0.061,0.0,0.01,46508
-0.05,-0.008,-0.034,46512
-0.028,-0.007,-0.034,46517
-0.042,0.001,-0.07,46522
-0.03,-0.006,-0.089,46527
-0.014,-0.006,-0.071,46532
0.017,0.033,-0.09,46537
0.05,0.012,-0.068,46542
0.032,0.045,-0.126,46547
0.059,0.002,-0.113,46552
0.036,-0.01,-0.097,46557
0.041,-0.005,-0.113,46562
0.075,-0.017,-0.093,46567
0.102,0.005,-0.101,46572
0.101,-0.012,-0.091,46577
0.069,-0.019,-0.103,46582
0.075,-0.021,-0.067,46587
0.072,-0.011,0.0,46592
0.073,-0.035,-0.017,46597
0.018,-0.01,-0.007,46602
-0.017,0.003,0.027,46607
0.027,-0.001,-0.009,46611
-0.001,0.033,-0.004,46616
-0.022,0.016,0.022,46621
-0.033,0.019,0.028,46626
-0.042,0.017,0.029,46631
-0.021,0.024,0.018,46636
-0.027,0.013,-0.009,46641
-0.072,0.016,-0.017,46646
0.003,0.023,0.006,46651
-0.031,-0.013,-0.011,46656
-0.049,-0.02,-0.027,46661
0.007,0.002,-0.02,46666
0.01,-0.006,-0.001,46671
-0.003,0.003,-0.001,46676
0.005,-0.005,0.029,46681
0.017,0.012,0.013,46686
0.05,0.041,0.007,46691
0.058,0.028,0.015,46696
0.113,0.034,0.035,46701
0.08,0.0,0.066,46706
0.11,0.009,0.0,46711
0.082,-0.009,-0.022,46715
0.087,-0.003,-0.024,46720
0.074,-0.02,-0.026,46725
0.066,-0.022,-0.027,46730
0.06,-0.012,-0.024,46735
0.049,0.019,-0.052,46740
0.04,0.013,-0.034,46745
0.023,-0.001,-0.039,46750
0.029,-0.009,-0.061,46755
0.005,-0.043,-0.068,46760
0.021,-0.021,-0.074,46765
0.015,-0.019,-0.023,46770
-0.011,-0.051,-0.077,46775
-0.002,-0.064,-0.074,46780
0.028,-0.023,-0.075,46785
0.029,-0.038,-0.054,46790
0.031,-0.029,-0.036,46795
0.036,-0.031,-0.045,46800
0.028,-0.015,0.006,46805
0.0,0.007,0.001,46810
0.0,0.011,0.018,46814
0.025,0.066,0.025,46819
-0.006,0.068,0.018,46824
-0.014,0.065,0.025,46829
0.025,0.063,0.078,46834
-0.024,0.065,0.027,46839
-0.022,0.054,0.016,46844
0.01,0.04,0.006,46849
-0.033,-0.002,0.044,46854
-0.03,-0.019,0.022,46859
-0.044,-0.03,0.007,46864
-0.04,-0.001,0.015,46869
-0.018,-0.044,-0.003,46874
0.0,-0.065,0.009,46879
0.004,-0.033,-0.008,46884
-0.021,-0.029,-0.054,46889
0.014,-0.026,-0.019,46894
0.039,-0.011,-0.004,46899
0.026,0.007,-0.004,46904
0.028,-0.01,-0.003,46909
0.034,-0.035,-0.02,46913
0.022,-0.019,-0.061,46918
0.006,-0.017,-0.042,46923
-0.002,-0.011,-0.068,46928
0.002,-0.018,-0.096,46933
0.027,-0.021,-0.056,46938
0.016,0.006,-0.016,46943
0.036,0.019,-0.01,46948
-0.006,0.043,-0.004,46953
-0.005,0.038,0.03,46958
0.025,0.03,0.027,46963
0.027,0.01,0.015,46968
0.05,0.035,0.001,46973
0.014,0.04,0.026,46978
0.017,0.04,0.05,46983
0.007,-0.019,0.014,46988
0.023,-0.034,0.0,46993
0.017,-0.009,0.004,46998
0.006,-0.017,0.017,47003
0.019,-0.024,-0.006,47008
0.017,-0.052,-0.018,47013
0.037,-0.029,-0.007,47017
0.041,-0.048,-0.007,47022
0.042,-0.004,0.006,47027
0.029,-0.012,-0.002,47032
0.009,-0.033,0.014,47037
0.029,-0.012,0.013,47042
0.061,0.005,0.007,47047
0.029,0.001,-0.006,47052
0.052,-0.011,-0.018,47057
0.085,0.002,0.017,47062
0.059,-0.015,-0.009,47067
0.058,-0.018,0.025,47072
0.013,-0.007,-0.019,47077
0.025,-0.015,-0.013,47082
0.009,-0.022,0.035,47087
0.03,0.014,0.053,47092
0.018,0.012,0.073,47097
-0.009,-0.01,0.079,47102
0.03,0.025,0.075,47107
0.006,0.044,0.059,47112
-0.016,0.009,0.07,47116
0.011,0.03,0.046,47121
0.044,0.031,0.02,47126
0.014,0.019,0.057,47131
0.043,0.035,0.042,47136
