x_real,y_real,z_real,x_meas,y_meas,z_meas,x_error,y_error,z_error,duration
685.5,0.0,120.0,733.9169686422472,-31.588989995562375,261.22710904060614,48.416968642247184,31.588989995562375,141.22710904060614,3.08
685.5,45.7,120.0,732.3839864375591,-11.522117375886738,269.504663311605,46.88398643755909,57.22211737588674,149.504663311605,3.58
685.5,91.4,120.0,730.0133005024793,3.5563080722336204,270.1003465432185,44.5133005024793,87.84369192776639,150.1003465432185,4.1
685.5,137.1,120.0,720.414065491927,39.58756302960862,305.02980804624445,34.914065491926976,97.51243697039138,185.02980804624445,4.6
685.5,182.8,120.0,738.4184889662847,114.75436904887482,338.1053517600282,52.91848896628471,68.04563095112519,218.1053517600282,5.11
685.5,228.5,120.0,729.8771814469761,129.45486292931585,354.1954927330668,44.377181446976124,99.04513707068415,234.19549273306683,5.62
685.5,274.2,120.0,522.6414649408106,46.64693712631472,216.22751322359343,162.85853505918942,227.55306287368526,96.22751322359343,6.12
685.5,411.3,120.0,725.2825974127381,267.6745539319843,455.1428806722257,39.78259741273814,143.62544606801572,335.1428806722257,7.64
685.5,457.0,120.0,725.2825974127381,267.6745539319843,455.1428806722257,39.78259741273814,189.3254460680157,335.1428806722257,8.16
685.5,548.4,120.0,657.9273290090574,426.957572925725,488.955501262081,27.572670990942584,121.44242707427497,368.955501262081,9.18
685.5,594.1,120.0,753.6528858231162,487.1163114189548,487.20056051354646,68.15288582311621,106.98368858104521,367.20056051354646,9.69
685.5,639.8,120.0,691.5887901566808,533.2675142626418,495.0808610905939,6.08879015668083,106.53248573735812,375.0808610905939,10.21
685.5,685.5,120.0,730.5459308808457,570.1696476198659,496.55192068095886,45.04593088084573,115.33035238013406,376.55192068095886,10.72
685.5,731.2,120.0,746.6344282186643,576.8658622594781,497.64966104622016,61.13442821866431,154.3341377405219,377.64966104622016,11.23
