Anchor,Ranging,Duration
An0051,85,3.0781779289245605
An0054,765,3.0781779289245605
An0015,795,3.0781779289245605
An0014,930,3.0781779289245605
An0051,85,3.578305959701538
An0054,765,3.578305959701538
An0015,795,3.578305959701538
An0014,930,3.578305959701538
An0051,151,4.600578546524048
An0015,699,4.600578546524048
An0054,763,4.600578546524048
An0014,818,4.600578546524048
An0051,165,5.104449510574341
An0015,688,5.104449510574341
An0054,763,5.104449510574341
An0014,814,5.104449510574341
An0051,216,5.608743667602539
An0015,607,5.608743667602539
An0014,734,5.608743667602539
An0054,788,5.608743667602539
An0051,216,6.118054389953612
An0015,607,6.118054389953612
An0014,770,6.118054389953612
An0054,788,6.118054389953612
An0015,421,7.662596940994263
An0051,425,7.662596940994263
An0014,557,7.662596940994263
An0030,890,7.662596940994263
An0015,415,8.180750370025635
An0051,444,8.180750370025635
An0014,546,8.180750370025635
An0030,872,8.180750370025635
An0015,262,9.703263998031618
An0014,365,9.703263998031618
An0051,604,9.703263998031618
An0030,783,9.703263998031618
An0015,252,10.20793342590332
An0014,338,10.20793342590332
An0051,638,10.20793342590332
An0030,783,10.20793342590332
An0015,252,10.709094524383543
An0014,338,10.709094524383543
An0051,638,10.709094524383543
An0030,783,10.709094524383543
