x_real,y_real,z_real,x_meas,y_meas,z_meas,x_error,y_error,z_error,duration
685.5,0.0,120.0,761.2811586988565,-2.284234837148689,262.65818806962267,75.78115869885653,2.284234837148689,142.65818806962267,3.08
685.5,45.7,120.0,761.2811586988565,-2.284234837148689,262.65818806962267,75.78115869885653,47.98423483714869,142.65818806962267,3.58
685.5,137.1,120.0,752.005298554083,104.17410260981711,290.52375887226583,66.50529855408297,32.92589739018288,170.52375887226583,4.6
685.5,182.8,120.0,748.8323180166203,112.37721995382213,302.8742329379398,63.33231801662032,70.42278004617788,182.87423293793978,5.1
685.5,228.5,120.0,758.179190415766,194.5893577470461,274.13160968941247,72.67919041576602,33.91064225295389,154.13160968941247,5.61
685.5,274.2,120.0,754.6341356731996,177.83012773019283,305.49163944912266,69.13413567319958,96.36987226980716,185.49163944912266,6.12
685.5,411.3,120.0,675.1107984657517,296.96070944980175,462.0714970528011,10.389201534248286,114.33929055019826,342.0714970528011,7.66
685.5,457.0,120.0,685.3330972193769,314.8606305935571,471.973834931277,0.16690278062310426,142.13936940644288,351.973834931277,8.18
685.5,548.4,120.0,725.2185991202906,490.56151413488277,479.0179295389101,39.718599120290605,57.83848586511721,359.0179295389101,9.7
685.5,639.8,120.0,768.5543098071388,522.294882002292,481.90916188264015,83.0543098071388,117.505117997708,361.90916188264015,10.21
685.5,685.5,120.0,768.5543098071388,522.294882002292,481.90916188264015,83.0543098071388,163.20511799770804,361.90916188264015,10.71
