# Accelerometer Data File
# Started @Thu Apr 30 20:21:32 GMT+08:00 2020
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer
# sensor Resolution: 0.0023956299m/sec^2; Max Range: 156.9064; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the ","
# X,Y,Z,time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-0.377,8.62,0.949,0
-0.361,7.758,0.888,4
-0.325,6.973,0.799,5
-0.284,6.28,0.698,5
-0.264,5.674,0.598,5
-0.298,5.089,0.581,5
-0.281,4.584,0.51,5
-0.266,4.148,0.429,5
-0.23,3.703,0.433,5
-0.242,3.328,0.399,5
-0.213,2.995,0.324,5
-0.166,2.708,0.309,5
-0.192,2.446,0.282,5
-0.156,2.176,0.25,5
-0.106,1.954,0.186,5
-0.082,1.763,0.167,5
-0.078,1.595,0.211,5
-0.083,1.444,0.164,5
-0.015,1.3,0.091,5
0.0,1.191,0.082,5
-0.009,1.098,0.065,5
-0.003,1.001,0.059,4
-0.02,0.875,0.074,5
-0.01,0.796,0.08,5
-0.034,0.708,0.072,5
-0.057,0.598,0.095,5
-0.055,0.53,0.115,5
-0.093,0.472,0.104,5
-0.084,0.378,0.042,5
0.014,0.323,0.154,5
0.09,0.277,0.151,5
0.038,0.232,0.145,5
0.056,0.244,0.152,5
0.08,0.21,0.089,5
0.034,0.202,0.076,5
-0.003,0.208,0.038,5
-0.02,0.2,0.0,5
0.011,0.189,-0.004,5
-0.011,0.148,0.056,5
-0.005,0.125,0.059,5
0.033,0.103,0.062,5
0.004,0.089,0.064,5
-0.021,0.071,-0.019,4
-0.011,0.073,-0.017,5
-0.001,0.078,0.005,5
0.003,0.079,-0.042,5
-0.048,0.084,-0.223,5
-0.225,0.101,-0.455,5
-0.034,-0.003,0.297,5
0.072,0.001,0.026,5
-0.008,0.009,0.083,5
-0.02,0.043,0.045,5
-0.005,0.073,0.032,5
-0.017,0.057,0.059,5
0.001,0.034,0.04,5
-0.02,0.048,0.031,5
-0.031,0.06,0.002,5
0.014,0.05,-0.014,5
0.022,0.045,-0.008,5
0.058,0.036,-0.008,5
0.065,0.024,-0.02,5
-0.005,0.0,0.02,5
-0.009,0.017,0.014,4
0.004,0.024,0.064,5
0.0,-0.008,0.036,5
0.034,-0.003,0.037,5
0.0,0.035,0.05,5
0.009,0.036,0.015,5
0.012,0.011,0.009,5
-0.018,0.01,0.012,5
-0.003,0.004,0.007,5
-0.02,-0.004,0.015,5
0.007,0.009,-0.012,5
0.023,0.012,-0.032,5
-0.017,0.015,-0.016,5
-0.024,0.018,-0.018,5
-0.034,-0.004,-0.012,5
-0.014,-0.017,-0.011,5
-0.038,0.005,-0.001,5
0.0,-0.024,-0.01,5
0.0,-0.022,0.038,5
-0.013,-0.002,0.03,5
-0.016,-0.028,-0.003,5
0.002,-0.008,0.005,4
0.028,-0.007,0.0,5
-0.004,0.014,-0.003,5
0.008,-0.021,-0.024,5
0.003,-0.006,-0.009,5
-0.001,-0.009,-0.029,5
0.024,-0.03,-0.022,5
-0.007,-0.014,0.005,5
-0.015,0.008,-0.003,5
0.011,0.0,0.013,5
-0.002,0.029,-0.013,5
-0.058,0.039,-0.029,5
-0.004,0.035,-0.009,5
0.0,0.027,0.0,5
-0.013,0.037,-0.016,5
0.018,0.021,-0.04,5
-0.009,0.023,-0.002,5
0.008,0.012,-0.002,5
-0.004,-0.001,-0.036,5
0.0,0.019,-0.011,5
0.017,0.039,0.011,4
0.002,0.009,0.005,5
0.01,-0.025,0.005,5
0.035,-0.027,0.043,5
0.049,-0.016,0.034,5
0.04,-0.027,0.022,5
0.023,-0.037,0.011,5
0.033,-0.008,-0.015,5
0.043,-0.002,-0.004,5
0.021,-0.002,0.017,5
-0.019,-0.028,0.019,5
0.0,-0.025,0.0,5
-0.021,-0.014,-0.012,5
-0.01,-0.017,-0.006,5
-0.026,-0.024,-0.023,5
-0.011,-0.004,-0.008,5
-0.001,0.03,-0.028,5
-0.048,0.031,-0.038,5
-0.043,0.045,0.025,5
-0.005,0.071,-0.003,5
-0.017,0.038,-0.011,5
-0.02,0.034,-0.04,4
0.007,0.026,-0.023,5
-0.027,0.006,-0.021,5
0.005,0.023,0.002,5
0.022,0.012,0.006,5
0.015,-0.006,-0.024,5
-0.016,0.007,-0.047,5
0.011,0.015,0.0,5
-0.002,-0.024,0.008,5
-0.036,-0.026,-0.005,5
-0.007,-0.011,0.055,5
-0.01,-0.014,0.024,5
-0.005,-0.008,0.004,5
0.025,-0.007,-0.013,5
-0.003,-0.024,0.04,5
-0.024,-0.021,0.018,5
-0.021,-0.049,0.021,5
