x,y,z,duration
-0.287,-0.107,-0.058,121711
-0.262,-0.135,-0.044,121716
-0.206,-0.143,0.0,121721
-0.151,-0.181,0.016,121726
-0.11,-0.162,0.04,121731
-0.077,-0.133,0.045,121736
-0.048,-0.103,0.1,121741
0.012,-0.092,0.103,121745
0.011,-0.079,0.14,121750
0.057,-0.041,0.2,121755
0.081,-0.011,0.192,121760
0.047,0.011,0.221,121765
0.043,0.07,0.151,121770
0.0,0.072,0.201,121775
-0.056,0.121,0.198,121780
-0.063,0.13,0.152,121785
-0.082,0.13,0.171,121790
-0.134,0.121,0.128,121795
-0.164,0.105,0.094,121800
-0.195,0.086,0.097,121805
-0.175,0.06,0.079,121810
-0.179,0.036,0.058,121815
-0.187,0.024,0.031,121820
-0.212,0.017,0.023,121825
-0.186,0.041,0.0,121830
-0.146,0.011,-0.026,121835
-0.127,-0.01,-0.01,121840
-0.054,-0.027,-0.035,121844
-0.057,-0.015,0.011,121849
-0.017,-0.027,-0.007,121854
0.014,-0.063,-0.014,121859
0.026,-0.104,-0.013,121864
0.07,-0.145,-0.007,121869
0.055,-0.13,0.005,121874
0.066,-0.16,0.022,121879
0.094,-0.183,0.067,121884
0.119,-0.182,0.073,121889
0.129,-0.168,0.113,121894
0.168,-0.125,0.124,121899
0.134,-0.121,0.098,121904
0.124,-0.096,0.101,121909
0.095,-0.056,0.074,121914
0.072,-0.016,0.088,121919
0.065,-0.015,0.058,121924
0.045,0.025,0.039,121929
0.028,0.048,0.013,121934
0.029,0.086,0.0,121939
0.001,0.138,-0.013,121943
-0.02,0.167,0.022,121948
-0.027,0.172,-0.07,121953
-0.054,0.168,-0.046,121958
-0.044,0.159,-0.067,121963
-0.048,0.161,-0.073,121968
-0.052,0.17,-0.087,121973
-0.047,0.145,-0.057,121978
-0.046,0.122,-0.068,121983
-0.037,0.066,-0.061,121988
-0.038,0.008,-0.042,121993
-0.069,-0.013,-0.008,121998
-0.096,0.0,-0.011,122003
-0.074,-0.021,-0.036,122008
-0.053,-0.057,-0.032,122013
-0.039,-0.056,-0.02,122018
-0.044,-0.063,-0.01,122023
-0.048,-0.07,-0.004,122028
-0.052,-0.084,-0.008,122033
-0.012,-0.084,0.0,122038
-0.028,-0.093,0.013,122043
-0.004,-0.092,-0.022,122047
-0.012,-0.079,-0.011,122052
0.001,-0.036,0.002,122057
0.01,-0.024,-0.01,122062
-0.008,0.012,0.0,122067
0.018,0.045,-0.026,122072
-0.009,0.053,-0.023,122077
0.021,0.083,-0.025,122082
0.011,0.079,0.015,122087
-0.002,0.096,0.048,122092
-0.011,0.078,0.022,122097
0.015,0.07,0.037,122102
0.022,0.068,0.067,122107
0.007,0.065,0.022,122112
-0.014,0.05,0.071,122117
-0.017,0.032,0.06,122122
-0.024,0.02,0.093,122127
-0.06,0.022,0.075,122132
-0.05,-0.013,0.046,122137
-0.049,-0.012,0.05,122142
-0.057,-0.032,0.062,122146
-0.06,-0.064,0.077,122151
-0.05,-0.07,0.091,122156
-0.023,-0.106,0.077,122161
-0.034,-0.117,0.083,122166
-0.035,-0.092,0.066,122171
-0.027,-0.092,0.102,122176
-0.05,-0.082,0.088,122181
-0.036,-0.066,0.1,122186
0.001,-0.08,0.09,122191
-0.007,-0.055,0.06,122196
0.023,-0.015,0.067,122201
0.06,-0.014,0.086,122206
0.036,-0.004,0.051,122211
0.028,0.022,0.029,122216
0.012,-0.001,0.026,122221
0.011,0.015,0.019,122226
0.023,0.035,0.069,122231
0.012,0.053,0.027,122236
-0.014,0.048,0.016,122241
-0.034,0.043,0.019,122246
-0.001,0.065,0.038,122250
0.0,0.049,-0.025,122255
0.042,0.079,-0.018,122260
0.012,0.054,0.013,122265
0.002,0.053,-0.026,122270
0.015,0.06,-0.024,122275
0.039,0.054,-0.013,122280
