x,y,z,duration
-0.236,-0.175,-0.121,85596
-0.173,-0.166,-0.147,85601
-0.169,-0.154,-0.12,85606
-0.104,-0.143,-0.069,85611
-0.064,-0.111,-0.045,85616
-0.083,-0.07,0.002,85621
-0.019,-0.011,0.053,85626
-0.013,0.049,0.095,85630
-0.016,0.044,0.138,85635
-0.001,0.07,0.167,85640
-0.035,0.11,0.193,85645
0.002,0.138,0.2,85650
-0.028,0.163,0.197,85655
-0.038,0.16,0.203,85660
-0.012,0.157,0.157,85665
-0.046,0.141,0.163,85670
-0.032,0.105,0.138,85675
-0.051,0.064,0.115,85680
-0.076,0.045,0.108,85685
-0.072,0.058,0.037,85690
-0.108,0.052,0.042,85695
-0.132,0.021,0.037,85700
-0.11,0.057,0.051,85705
-0.095,0.043,0.02,85710
-0.132,0.043,-0.007,85715
-0.132,0.039,-0.006,85720
-0.149,0.03,-0.01,85725
-0.13,0.023,0.0,85730
-0.151,-0.013,-0.004,85734
-0.127,-0.037,-0.034,85739
-0.145,-0.077,-0.065,85744
-0.122,-0.043,0.005,85749
-0.135,-0.099,-0.003,85754
-0.087,-0.089,0.031,85759
-0.091,-0.149,0.075,85764
-0.03,-0.173,0.007,85769
-0.019,-0.134,0.024,85774
-0.021,-0.159,0.056,85779
0.058,-0.13,0.033,85784
0.065,-0.1,0.09,85789
0.084,-0.064,0.059,85794
0.14,-0.036,0.023,85799
0.113,-0.033,0.034,85804
0.106,0.004,-0.008,85809
0.121,0.047,-0.002,85814
0.083,0.046,0.01,85819
0.131,0.05,0.017,85824
0.105,0.08,0.02,85829
0.081,0.085,-0.029,85834
0.086,0.063,-0.051,85838
0.052,0.113,-0.059,85843
0.068,0.114,-0.027,85848
0.053,0.077,-0.059,85853
0.082,0.104,-0.07,85858
0.022,0.089,-0.063,85863
-0.005,0.076,-0.07,85868
0.02,0.051,-0.05,85873
0.014,0.067,-0.028,85878
0.004,0.03,-0.02,85883
-0.017,-0.028,-0.014,85888
-0.041,-0.055,0.004,85893
-0.033,-0.08,0.012,85898
-0.025,-0.106,-0.014,85903
0.002,-0.104,0.012,85908
-0.01,-0.128,0.075,85913
-0.013,-0.163,0.038,85918
-0.042,-0.164,0.021,85923
-0.046,-0.134,0.01,85928
-0.037,-0.121,0.022,85933
-0.025,-0.126,0.033,85937
-0.07,-0.1,0.0,85942
-0.033,-0.051,0.051,85947
-0.012,-0.02,0.067,85952
0.01,-0.001,0.013,85957
0.017,0.024,0.042,85962
0.041,0.069,0.051,85967
0.007,0.066,0.046,85972
0.041,0.077,0.045,85977
-0.018,0.112,0.054,85982
0.013,0.114,0.065,85987
-0.005,0.107,0.024,85992
-0.017,0.105,0.048,85997
-0.016,0.094,0.0,86002
-0.023,0.067,-0.025,86007
-0.068,0.074,0.015,86012
-0.1,0.083,-0.007,86017
-0.09,0.049,-0.015,86022
-0.046,0.031,0.0,86027
-0.041,0.028,0.0,86032
-0.037,0.004,-0.039,86037
-0.008,-0.022,-0.013,86041
-0.015,0.01,-0.038,86046
0.002,-0.042,-0.025,86051
-0.014,-0.064,-0.04,86056
-0.051,-0.031,-0.006,86061
-0.016,-0.067,-0.044,86066
-0.023,-0.077,-0.005,86071
0.008,-0.07,0.038,86076
-0.043,-0.076,0.042,86081
-0.03,-0.051,0.038,86086
-0.066,-0.05,-0.008,86091
-0.055,-0.023,0.035,86096
-0.075,-0.025,0.023,86101
-0.098,-0.027,0.012,86106
-0.058,0.005,0.006,86111
-0.086,0.03,0.07,86116
-0.095,0.049,0.033,86121
-0.103,0.044,0.025,86126
-0.084,0.057,0.057,86131
-0.067,0.038,0.004,86136
-0.077,0.034,0.038,86141
-0.052,0.061,0.052,86145
-0.051,0.037,0.012,86150
-0.072,0.038,0.062,86155
-0.052,0.034,0.039,86160
-0.081,0.022,0.031,86165
-0.06,0.024,0.053,86170
-0.028,0.035,0.013,86175
-0.025,-0.002,0.038,86180
-0.04,-0.015,0.056,86185
-0.053,-0.022,0.041,86190
-0.048,-0.041,0.024,86195
-0.069,-0.033,-0.016,86200
-0.04,-0.038,-0.006,86205
-0.019,-0.064,0.011,86210
-0.021,-0.071,-0.041,86215
-0.049,-0.085,-0.015,86220
-0.018,-0.055,-0.005,86225
-0.012,-0.054,-0.03,86230
-0.028,-0.036,-0.04,86235
-0.021,-0.032,-0.019,86240
-0.019,-0.007,-0.021,86244
-0.017,-0.006,-0.041,86249
-0.058,0.015,0.014,86254
-0.022,0.018,-0.025,86259
-0.024,0.046,-0.031,86264
-0.043,0.033,0.018,86269
-0.03,0.038,0.025,86274
-0.001,0.03,-0.002,86279
0.006,0.018,0.001,86284
-0.002,0.003,0.014,86289
-0.04,0.05,-0.004,86294
0.006,0.054,-0.025,86299
0.018,0.031,0.003,86304
0.038,0.045,-0.027,86309
-0.004,0.041,-0.037,86314
0.039,0.05,-0.033,86319
0.035,0.04,-0.004,86324
-0.041,0.019,-0.021,86329
0.018,-0.008,-0.027,86334
0.012,-0.011,-0.059,86339
0.011,0.019,-0.044,86343
-0.011,0.004,-0.057,86348
-0.005,0.017,-0.026,86353
-0.022,0.011,-0.036,86358
-0.011,0.014,-0.019,86363
0.019,0.004,-0.056,86368
0.021,-0.043,-0.038,86373
0.049,-0.052,-0.055,86378
0.006,-0.025,-0.084,86383
-0.02,-0.031,-0.05,86388
0.033,-0.011,-0.041,86393
0.025,-0.035,-0.041,86398
0.044,-0.023,-0.093,86403
0.027,0.013,-0.066,86408
-0.009,0.02,-0.038,86413
0.0,0.009,-0.025,86418
-0.039,0.004,-0.006,86423
-0.022,0.008,-0.009,86428
0.001,0.042,0.004,86433
0.001,0.007,0.003,86438
-0.003,0.019,0.016,86443
-0.007,0.004,0.066,86447
-0.036,0.004,0.02,86452
-0.032,0.012,0.014,86457
-0.064,0.007,0.008,86462
-0.018,-0.002,0.02,86467
-0.016,0.023,0.01,86472
-0.028,0.038,0.009,86477
-0.051,0.008,-0.026,86482
-0.024,0.003,-0.01,86487
-0.022,0.011,-0.026,86492
-0.045,0.01,-0.028,86497
-0.045,-0.029,0.004,86502
0.028,-0.017,-0.034,86507
0.016,-0.02,-0.048,86512
0.014,-0.035,-0.039,86517
0.022,-0.005,-0.056,86522
0.028,-0.013,-0.064,86527
-0.03,0.008,-0.049,86532
-0.014,-0.004,0.02,86537
0.025,0.017,0.018,86542
0.018,0.041,0.016,86546
-0.004,0.032,0.019,86551
0.026,0.02,0.004,86556
0.001,0.014,-0.026,86561
0.01,0.013,-0.01,86566
0.022,0.02,-0.022,86571
0.045,-0.003,-0.02,86576
0.015,0.001,0.011,86581
0.013,-0.015,-0.002,86586
0.029,-0.014,-0.006,86591
0.069,-0.012,0.015,86596
0.054,-0.024,0.009,86601
0.014,-0.013,0.008,86606
0.038,-0.025,-0.039,86611
0.004,-0.018,-0.018,86616
-0.017,0.005,-0.003,86621
-0.015,0.013,0.009,86626
-0.005,0.016,-0.034,86631
-0.022,-0.015,0.0,86636
-0.067,0.059,-0.004,86641
-0.069,0.049,-0.051,86646
-0.027,-0.007,-0.003,86650
-0.007,0.014,-0.037,86655
-0.019,0.004,-0.038,86660
0.003,-0.03,-0.051,86665
0.029,-0.022,-0.033,86670
0.06,-0.024,-0.034,86675
0.015,-0.056,0.012,86680
0.061,-0.029,0.006,86685
0.085,0.0,0.005,86690
