x,y,z,duration
-0.286,-0.583,0.233,69484
-0.235,-0.572,0.313,69489
-0.259,-0.515,0.398,69494
-0.19,-0.446,0.41,69499
-0.106,-0.358,0.412,69504
-0.023,-0.262,0.422,69509
0.009,-0.184,0.384,69514
0.103,-0.135,0.294,69519
0.187,-0.04,0.295,69524
0.173,0.023,0.287,69529
0.19,0.081,0.211,69534
0.274,0.125,0.125,69539
0.277,0.168,0.056,69544
0.241,0.22,0.025,69548
0.195,0.25,-0.028,69553
0.201,0.264,-0.129,69558
0.155,0.289,-0.146,69563
0.11,0.329,-0.157,69568
0.099,0.326,-0.215,69573
0.11,0.281,-0.172,69578
0.06,0.261,-0.185,69583
-0.035,0.179,-0.183,69588
-0.066,0.148,-0.212,69593
-0.047,0.103,-0.144,69598
-0.094,0.05,-0.116,69603
-0.106,0.01,-0.131,69608
-0.074,-0.046,-0.083,69613
-0.058,-0.046,-0.044,69618
-0.022,-0.037,-0.044,69623
0.044,-0.02,-0.044,69628
0.074,0.003,-0.027,69633
0.11,0.024,-0.097,69638
0.159,0.008,-0.105,69643
0.182,-0.026,-0.124,69648
0.168,-0.084,-0.138,69652
0.168,-0.097,-0.163,69657
0.173,-0.122,-0.155,69662
0.195,-0.183,-0.144,69667
0.149,-0.194,-0.121,69672
0.108,-0.196,-0.1,69677
0.097,-0.216,-0.111,69682
0.023,-0.177,-0.105,69687
-0.017,-0.142,-0.077,69692
-0.067,-0.093,-0.048,69697
-0.073,-0.075,-0.043,69702
-0.07,-0.068,-0.013,69707
-0.102,0.0,0.014,69712
-0.092,-0.005,-0.026,69717
-0.087,0.029,0.015,69722
-0.087,0.061,0.005,69727
-0.026,0.094,-0.025,69732
-0.019,0.132,-0.001,69737
-0.004,0.127,0.02,69742
-0.017,0.144,0.031,69747
0.005,0.173,0.002,69752
-0.02,0.134,-0.023,69756
-0.014,0.142,-0.051,69761
0.013,0.184,-0.05,69766
0.024,0.161,-0.05,69771
0.005,0.149,-0.057,69776
0.034,0.16,-0.052,69781
0.039,0.136,-0.064,69786
0.04,0.096,-0.044,69791
0.109,0.061,0.028,69796
0.128,0.037,0.008,69801
0.176,0.02,0.042,69806
0.149,-0.058,0.072,69811
0.169,-0.082,0.069,69816
0.178,-0.113,0.028,69821
0.169,-0.158,0.038,69826
0.152,-0.125,0.068,69831
0.124,-0.138,0.036,69836
0.103,-0.163,0.032,69841
0.101,-0.134,0.033,69846
0.056,-0.133,0.038,69851
0.012,-0.103,0.043,69855
-0.001,-0.075,0.0,69860
0.002,-0.063,0.004,69865
-0.01,-0.031,0.017,69870
-0.018,0.006,0.032,69875
-0.037,0.027,0.003,69880
-0.042,0.054,-0.009,69885
-0.081,0.018,0.012,69890
-0.081,0.051,0.015,69895
-0.095,0.033,0.022,69900
-0.059,0.043,0.007,69905
-0.079,0.06,-0.006,69910
-0.067,0.032,0.037,69915
-0.009,0.038,0.046,69920
-0.003,0.025,0.076,69925
0.056,-0.041,0.081,69930
0.042,-0.05,0.095,69935
0.09,-0.036,0.09,69940
0.106,-0.05,0.089,69945
0.139,-0.053,0.076,69950
0.177,-0.052,0.098,69955
0.215,-0.064,0.032,69959
0.206,-0.053,0.033,69964
0.199,-0.048,0.039,69969
0.17,-0.06,-0.016,69974
0.153,-0.02,-0.01,69979
0.146,0.003,-0.039,69984
0.076,-0.014,-0.057,69989
0.042,-0.017,-0.051,69994
0.029,0.006,-0.037,69999
-0.05,0.014,-0.051,70004
-0.071,0.025,-0.041,70009
-0.116,0.031,-0.059,70014
-0.16,0.015,-0.1,70019
-0.191,0.039,-0.077,70024
-0.185,0.074,-0.095,70029
-0.167,0.067,-0.06,70034
-0.184,0.082,-0.045,70039
-0.118,0.099,-0.036,70044
-0.124,0.106,-0.028,70049
-0.06,0.091,-0.004,70054
-0.062,0.061,-0.003,70058
-0.004,0.055,0.0,70063
0.0,0.023,0.03,70068
0.03,0.017,0.032,70073
0.074,0.011,0.076,70078
0.067,0.031,0.09,70083
0.086,0.015,0.072,70088
-0.004,-0.003,0.108,70093
0.026,-0.015,0.097,70098
-0.002,-0.01,0.057,70103
0.006,0.0,0.09,70108
0.006,-0.026,0.085,70113
-0.033,-0.023,0.103,70118
-0.051,-0.051,0.088,70123
-0.08,-0.054,0.036,70128
-0.128,-0.04,0.05,70133
-0.167,-0.041,0.075,70138
-0.094,-0.024,0.003,70143
-0.145,-0.034,-0.027,70148
-0.161,-0.044,-0.015,70153
-0.153,-0.026,-0.04,70158
-0.147,-0.024,-0.04,70163
-0.115,0.021,-0.053,70167
-0.107,0.002,-0.056,70172
-0.036,0.006,-0.064,70177
-0.002,0.005,-0.057,70182
-0.028,0.043,-0.026,70187
-0.029,0.052,-0.014,70192
0.011,0.025,-0.022,70197
0.049,0.01,-0.015,70202
0.087,0.026,0.029,70207
0.048,0.01,-0.008,70212
0.039,-0.02,0.022,70217
0.039,-0.022,0.024,70222
0.057,-0.029,0.056,70227
0.012,-0.034,0.059,70232
-0.014,-0.022,0.023,70237
-0.047,-0.003,0.012,70242
