x,y,z,duration
-0.271,-0.383,0.167,35835
-0.227,-0.323,0.176,35840
-0.247,-0.265,0.137,35844
-0.184,-0.178,0.11,35849
-0.122,-0.108,0.108,35854
-0.093,0.001,0.037,35859
-0.049,0.096,0.02,35864
-0.005,0.172,0.001,35869
0.025,0.228,-0.02,35874
0.031,0.283,-0.039,35879
0.053,0.379,0.02,35884
0.039,0.41,0.013,35889
0.031,0.447,0.008,35894
0.049,0.454,0.046,35899
0.079,0.486,0.084,35904
0.067,0.455,0.093,35909
0.047,0.405,0.084,35914
0.072,0.377,0.079,35919
0.061,0.331,0.102,35924
0.046,0.276,0.087,35929
0.02,0.162,0.083,35934
-0.05,0.073,0.066,35939
-0.067,-0.015,0.007,35944
-0.086,-0.104,0.011,35948
-0.15,-0.176,-0.011,35953
-0.144,-0.257,-0.001,35958
-0.142,-0.3,0.028,35963
-0.197,-0.335,0.017,35968
-0.225,-0.349,-0.01,35973
-0.185,-0.374,0.085,35978
-0.205,-0.397,0.059,35983
-0.198,-0.388,0.049,35988
-0.199,-0.323,0.061,35993
-0.166,-0.295,0.115,35998
-0.124,-0.252,0.1,36003
-0.142,-0.188,0.077,36008
-0.11,-0.174,0.03,36013
-0.099,-0.105,0.04,36018
-0.05,-0.081,-0.002,36023
-0.032,-0.069,-0.002,36028
-0.033,-0.01,0.002,36033
-0.013,0.016,-0.023,36038
-0.033,0.019,-0.051,36043
0.004,0.034,-0.098,36047
0.003,0.039,-0.075,36052
0.007,0.057,-0.067,36057
0.045,0.081,-0.095,36062
0.054,0.112,-0.09,36067
0.07,0.157,-0.089,36072
0.033,0.184,-0.102,36077
0.042,0.226,-0.083,36082
0.042,0.259,-0.083,36087
0.008,0.276,-0.045,36092
-0.031,0.249,-0.066,36097
-0.028,0.263,-0.042,36102
-0.051,0.241,0.0,36107
-0.08,0.191,-0.021,36112
-0.068,0.167,-0.001,36117
-0.082,0.15,0.05,36122
-0.091,0.075,0.014,36127
-0.082,0.054,0.0,36132
-0.126,0.053,0.047,36137
-0.109,0.005,0.043,36142
-0.042,-0.042,0.047,36147
-0.038,-0.102,0.033,36151
-0.073,-0.14,0.069,36156
-0.022,-0.16,0.088,36161
0.005,-0.178,0.083,36166
-0.012,-0.169,0.058,36171
-0.015,-0.113,0.056,36176
0.012,-0.081,0.072,36181
0.006,-0.072,0.069,36186
