x,y,z,duration
-0.076,0.217,0.281,3004
-0.034,0.178,0.309,3009
0.012,0.199,0.192,3014
0.148,0.153,0.117,3019
0.215,0.103,0.135,3024
0.267,0.101,0.031,3029
0.266,0.113,0.041,3034
0.283,0.08,0.041,3039
0.306,0.085,0.024,3044
0.323,0.076,0.021,3049
0.299,0.038,-0.001,3054
0.299,0.03,0.041,3059
0.274,0.018,0.093,3064
0.156,0.029,0.101,3069
0.041,0.035,0.116,3074
-0.031,0.053,0.122,3079
-0.088,0.026,0.144,3084
-0.144,-0.023,0.173,3088
-0.181,-0.038,0.156,3093
-0.327,-0.021,0.2,3098
-0.333,-0.058,0.271,3103
-0.386,-0.073,0.257,3108
-0.416,-0.083,0.313,3113
-0.409,-0.075,0.337,3118
-0.428,-0.076,0.291,3123
-0.403,-0.073,0.292,3128
-0.423,-0.07,0.297,3133
-0.398,-0.002,0.319,3138
-0.427,0.049,0.309,3143
-0.436,0.078,0.321,3148
-0.491,0.092,0.34,3153
-0.485,0.13,0.306,3158
-0.48,0.177,0.284,3163
-0.445,0.151,0.195,3168
-0.387,0.162,0.171,3173
-0.327,0.189,0.159,3178
-0.285,0.196,0.125,3183
-0.166,0.215,0.057,3187
-0.124,0.197,0.025,3192
-0.129,0.225,0.057,3197
-0.094,0.241,0.069,3202
-0.089,0.187,0.027,3207
-0.015,0.138,0.102,3212
-0.005,0.09,0.174,3217
0.003,0.081,0.023,3222
0.016,0.068,0.042,3227
0.001,0.027,0.051,3232
0.018,-0.001,0.024,3237
-0.004,-0.039,0.004,3242
0.017,-0.083,0.086,3247
0.028,-0.143,0.017,3252
-0.043,-0.163,-0.031,3257
-0.021,-0.212,-0.011,3262
0.023,-0.238,-0.006,3267
0.077,-0.266,-0.095,3272
0.043,-0.287,-0.138,3277
0.056,-0.301,-0.206,3282
0.119,-0.318,-0.28,3286
0.077,-0.308,-0.316,3291
0.074,-0.294,-0.384,3296
0.105,-0.252,-0.457,3301
0.194,-0.24,-0.528,3306
0.278,-0.211,-0.6,3311
0.319,-0.207,-0.596,3316
0.403,-0.204,-0.64,3321
0.445,-0.192,-0.597,3326
0.469,-0.177,-0.572,3331
0.487,-0.159,-0.48,3336
0.412,-0.109,-0.389,3341
0.345,-0.068,-0.298,3346
0.323,-0.044,-0.178,3351
0.317,-0.095,-0.074,3356
0.298,-0.107,0.006,3361
0.169,-0.101,0.087,3366
0.118,-0.147,0.151,3371
0.015,-0.184,0.197,3376
0.009,-0.2,0.289,3381
0.008,-0.24,0.307,3385
-0.065,-0.272,0.302,3390
-0.075,-0.292,0.272,3395
-0.068,-0.31,0.193,3400
-0.065,-0.327,0.131,3405
-0.046,-0.294,0.1,3410
0.018,-0.273,0.047,3415
0.094,-0.241,-0.021,3420
0.14,-0.196,-0.118,3425
0.243,-0.159,-0.184,3430
0.339,-0.139,-0.269,3435
0.417,-0.086,-0.315,3440
0.423,-0.077,-0.305,3445
0.484,-0.039,-0.305,3450
0.517,-0.035,-0.322,3455
0.509,-0.062,-0.277,3460
0.544,-0.043,-0.219,3465
0.489,-0.021,-0.214,3470
0.453,-0.006,-0.188,3475
0.361,-0.018,-0.143,3480
0.32,-0.021,-0.129,3484
0.219,-0.023,-0.073,3489
0.158,-0.003,-0.031,3494
0.061,0.043,-0.002,3499
0.033,0.048,0.027,3504
-0.038,0.082,0.0,3509
-0.043,0.095,-0.018,3514
-0.052,0.12,-0.042,3519
0.004,0.168,-0.024,3524
0.06,0.173,-0.022,3529
0.093,0.186,-0.011,3534
0.148,0.154,0.002,3539
